current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
1997-07-01	1996-07-01	bhatt	8.01	1997-07-01	1996-07-01	0	1225	9814	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1997-07-01	1996-07-01	bhatt	7.81	1998-07-01	1997-07-01	0	3780	29504	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1997-07-01	1996-07-01	bhatt	10.19	1999-07-01	1998-07-01	0	4515	46024	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt	5.04	1998-07-01	1997-07-01	0	11664	58736	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt	8.45	1999-07-01	1998-07-01	0	13932	117784	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt	10.96	2000-07-01	1999-07-01	0	13932	152718	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1999-07-01	1998-07-01	bhatt	7.96	1999-07-01	1998-07-01	0	16641	132488	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1999-07-01	1998-07-01	bhatt	10.44	2000-07-01	1999-07-01	0	16641	173652	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1999-07-01	1998-07-01	bhatt	11.63	2001-07-01	2000-07-01	0	14448	168028	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2000-07-01	1999-07-01	bhatt	2.66	2000-07-01	1999-07-01	0	16641	44240	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2000-07-01	1999-07-01	bhatt	3.53	2001-07-01	2000-07-01	0	14448	51028	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2000-07-01	1999-07-01	bhatt	7.66	2002-07-01	2001-07-01	0	30702	235237	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2001-07-01	2000-07-01	bhatt	3.46	2001-07-01	2000-07-01	0	12544	43350	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2001-07-01	2000-07-01	bhatt	7.91	2002-07-01	2001-07-01	0	26656	210716	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2001-07-01	2000-07-01	bhatt	8.51	2003-07-01	2002-07-01	0	24192	205794	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2002-07-01	2001-07-01	bhatt	5.61	2002-07-01	2001-07-01	0	56644	317520	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2002-07-01	2001-07-01	bhatt	7.19	2003-07-01	2002-07-01	0	51408	369872	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2002-07-01	2001-07-01	bhatt	8.25	2004-07-01	2003-07-01	0	82824	683040	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2003-07-01	2002-07-01	bhatt	7.49	2003-07-01	2002-07-01	0	46656	349490	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2003-07-01	2002-07-01	bhatt	8.16	2004-07-01	2003-07-01	0	75168	613705	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2003-07-01	2002-07-01	bhatt	10.16	2005-07-01	2004-07-01	0	84240	855576	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2004-07-01	2003-07-01	bhatt	7.5	2004-07-01	2003-07-01	0	121104	908200	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2004-07-01	2003-07-01	bhatt	9.52	2005-07-01	2004-07-01	0	135720	1291837	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2004-07-01	2003-07-01	bhatt	10.35	2006-07-01	2005-07-01	0	100224	1037495	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2005-07-01	2004-07-01	bhatt	2.87	2005-07-01	2004-07-01	0	152100	435786	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2005-07-01	2004-07-01	bhatt	3.76	2006-07-01	2005-07-01	0	112320	422488	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2005-07-01	2004-07-01	bhatt	5.91	2007-07-01	2006-07-01	0	161070	952414	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2006-07-01	2005-07-01	bhatt	4.14	2006-07-01	2005-07-01	0	82944	343594	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2006-07-01	2005-07-01	bhatt	6.38	2007-07-01	2006-07-01	0	118944	758473	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2006-07-01	2005-07-01	bhatt	7.61	2008-07-01	2007-07-01	0	125280	953554	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2007-07-01	2006-07-01	bhatt	5.21	2007-07-01	2006-07-01	0	170569	889256	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2007-07-01	2006-07-01	bhatt	5.34	2008-07-01	2007-07-01	0	179655	959692	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2007-07-01	2006-07-01	bhatt	6.26	2009-07-01	2008-07-01	0	197001	1233402	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2008-07-01	2007-07-01	bhatt	4.29	2008-07-01	2007-07-01	0	189225	811160	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2008-07-01	2007-07-01	bhatt	4.3	2009-07-01	2008-07-01	0	207495	892871	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2008-07-01	2007-07-01	bhatt	5.54	2010-07-01	2009-07-01	0	145290	804400	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2009-07-01	2008-07-01	bhatt	2.84	2009-07-01	2008-07-01	0	227529	646212	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2009-07-01	2008-07-01	bhatt	3.83	2010-07-01	2009-07-01	0	159318	610068	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2009-07-01	2008-07-01	bhatt	5.31	2011-07-01	2010-07-01	0	267120	1418126	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2010-07-01	2009-07-01	bhatt	3.58	2010-07-01	2009-07-01	0	111556	399254	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2010-07-01	2009-07-01	bhatt	4.16	2011-07-01	2010-07-01	0	187040	778031	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2010-07-01	2009-07-01	bhatt	5.23	2012-07-01	2011-07-01	0	176686	923478	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2011-07-01	2010-07-01	bhatt	3.65	2011-07-01	2010-07-01	0	313600	1146096	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2011-07-01	2010-07-01	bhatt	4.32	2012-07-01	2011-07-01	0	296240	1280059	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2011-07-01	2010-07-01	bhatt	5.15	2013-07-01	2012-07-01	0	317520	1635064	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2012-07-01	2011-07-01	bhatt	3.33	2012-07-01	2011-07-01	0	279841	930678	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2012-07-01	2011-07-01	bhatt	3.33	2013-07-01	2012-07-01	0	299943	999727	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2012-07-01	2011-07-01	bhatt	4.91	2014-07-01	2013-07-01	0	295711	1452700	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2013-07-01	2012-07-01	bhatt	2.44	2013-07-01	2012-07-01	0	321489	783398	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2013-07-01	2012-07-01	bhatt	3.71	2014-07-01	2013-07-01	0	316953	1176825	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2013-07-01	2012-07-01	bhatt	5.05	2015-07-01	2014-07-01	0	326025	1645592	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2014-07-01	2013-07-01	bhatt	4.13	2014-07-01	2013-07-01	0	312481	1290966	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2014-07-01	2013-07-01	bhatt	5.44	2015-07-01	2014-07-01	0	321425	1750091	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2014-07-01	2013-07-01	bhatt	7.48	2016-07-01	2015-07-01	0	334841	2503422	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2015-07-01	2014-07-01	bhatt	4.7	2015-07-01	2014-07-01	0	330625	1554454	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2015-07-01	2014-07-01	bhatt	5.86	2016-07-01	2015-07-01	0	344425	2017942	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2015-07-01	2014-07-01	bhatt	7.27	2017-07-01	2016-07-01	0	352475	2562542	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2016-07-01	2015-07-01	bhatt	5.49	2016-07-01	2015-07-01	0	358801	1969762	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2016-07-01	2015-07-01	bhatt	6.08	2017-07-01	2016-07-01	0	367187	2233495	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2016-07-01	2015-07-01	bhatt	7.37	2018-07-01	2017-07-01	0	358202	2640245	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2017-07-01	2016-07-01	bhatt	5.4	2017-07-01	2016-07-01	0	375769	2030198	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2017-07-01	2016-07-01	bhatt	5.86	2018-07-01	2017-07-01	0	366574	2148220	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2017-07-01	2016-07-01	bhatt	7.74	2019-07-01	2018-07-01	0	369639	2860842	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2018-07-01	2017-07-01	bhatt	4.7	2018-07-01	2017-07-01	0	357604	1679584	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2018-07-01	2017-07-01	bhatt	6.23	2019-07-01	2018-07-01	0	360594	2245168	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2018-07-01	2017-07-01	bhatt	6.61	2020-07-01	2019-07-01	0	90298	596915	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2019-07-01	2018-07-01	bhatt	6.71	2019-07-01	2018-07-01	0	363609	2440440	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2019-07-01	2018-07-01	bhatt	6.73	2020-07-01	2019-07-01	0	91053	613095	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
2020-07-01	2019-07-01	bhatt	4.76	2020-07-01	2019-07-01	0	22801	108618	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1997-07-01	1996-07-01	bhatt_nonepitope	1.51	1997-07-01	1996-07-01	0	1225	1848	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1997-07-01	1996-07-01	bhatt_nonepitope	1.22	1998-07-01	1997-07-01	0	3780	4610	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1997-07-01	1996-07-01	bhatt_nonepitope	1.11	1999-07-01	1998-07-01	0	4515	5010	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt_nonepitope	0.67	1998-07-01	1997-07-01	0	11664	7812	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt_nonepitope	0.56	1999-07-01	1998-07-01	0	13932	7770	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt_nonepitope	0.63	2000-07-01	1999-07-01	0	13932	8748	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
1999-07-01	1998-07-01	bhatt_nonepitope	0.43	1999-07-01	1998-07-01	0	16641	7152	results/north-america_mean_seasonal_distances_h3n2_na_21y.tsv
