current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
1997-07-01	1996-07-01	bhatt	8.01	1997-07-01	1996-07-01	0	1225	9814	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1997-07-01	1996-07-01	bhatt	7.81	1998-07-01	1997-07-01	0	3780	29504	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1997-07-01	1996-07-01	bhatt	10.19	1999-07-01	1998-07-01	0	4515	46024	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt	5.04	1998-07-01	1997-07-01	0	11664	58736	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt	8.45	1999-07-01	1998-07-01	0	13932	117784	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1998-07-01	1997-07-01	bhatt	10.96	2000-07-01	1999-07-01	0	13932	152718	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1999-07-01	1998-07-01	bhatt	7.96	1999-07-01	1998-07-01	0	16641	132488	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1999-07-01	1998-07-01	bhatt	10.44	2000-07-01	1999-07-01	0	16641	173652	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
1999-07-01	1998-07-01	bhatt	11.5	2001-07-01	2000-07-01	0	17673	203169	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2000-07-01	1999-07-01	bhatt	2.66	2000-07-01	1999-07-01	0	16641	44240	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2000-07-01	1999-07-01	bhatt	3.36	2001-07-01	2000-07-01	0	17673	59341	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2000-07-01	1999-07-01	bhatt	7.69	2002-07-01	2001-07-01	0	32508	250149	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2001-07-01	2000-07-01	bhatt	3.1	2001-07-01	2000-07-01	0	18769	58192	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2001-07-01	2000-07-01	bhatt	7.91	2002-07-01	2001-07-01	0	34524	273137	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2001-07-01	2000-07-01	bhatt	8.55	2003-07-01	2002-07-01	0	30003	256575	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2002-07-01	2001-07-01	bhatt	5.5	2002-07-01	2001-07-01	0	63504	349260	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2002-07-01	2001-07-01	bhatt	7.22	2003-07-01	2002-07-01	0	55188	398554	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2002-07-01	2001-07-01	bhatt	8.11	2004-07-01	2003-07-01	0	94248	764604	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2003-07-01	2002-07-01	bhatt	7.57	2003-07-01	2002-07-01	0	47961	363276	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2003-07-01	2002-07-01	bhatt	8.15	2004-07-01	2003-07-01	0	81906	667616	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2003-07-01	2002-07-01	bhatt	10.22	2005-07-01	2004-07-01	0	100083	1022779	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2004-07-01	2003-07-01	bhatt	7.37	2004-07-01	2003-07-01	0	139876	1030336	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2004-07-01	2003-07-01	bhatt	9.76	2005-07-01	2004-07-01	0	170918	1668689	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2004-07-01	2003-07-01	bhatt	10.42	2006-07-01	2005-07-01	0	124542	1298326	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2005-07-01	2004-07-01	bhatt	2.73	2005-07-01	2004-07-01	0	208849	569610	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2005-07-01	2004-07-01	bhatt	3.51	2006-07-01	2005-07-01	0	152181	533805	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2005-07-01	2004-07-01	bhatt	5.89	2007-07-01	2006-07-01	0	189198	1114563	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2006-07-01	2005-07-01	bhatt	3.88	2006-07-01	2005-07-01	0	110889	430594	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2006-07-01	2005-07-01	bhatt	6.3	2007-07-01	2006-07-01	0	137862	868995	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2006-07-01	2005-07-01	bhatt	7.49	2008-07-01	2007-07-01	0	159174	1192390	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2007-07-01	2006-07-01	bhatt	5.37	2007-07-01	2006-07-01	0	171396	921232	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2007-07-01	2006-07-01	bhatt	5.58	2008-07-01	2007-07-01	0	197892	1104848	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2007-07-01	2006-07-01	bhatt	6.22	2009-07-01	2008-07-01	0	214452	1334161	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2008-07-01	2007-07-01	bhatt	4.68	2008-07-01	2007-07-01	0	228484	1070196	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2008-07-01	2007-07-01	bhatt	4.39	2009-07-01	2008-07-01	0	247604	1087337	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2008-07-01	2007-07-01	bhatt	5.7	2010-07-01	2009-07-01	0	187854	1070718	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2009-07-01	2008-07-01	bhatt	2.58	2009-07-01	2008-07-01	0	268324	693600	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
2009-07-01	2008-07-01	bhatt	3.64	2010-07-01	2009-07-01	0	203574	741826	results/global_mean_seasonal_distances_h3n2_na_21y.tsv
