count	mean	season_end	season_start	std	replicate
35	1.0123	1997-07-01	1996-07-01	0.5162	0
108	1.0262	1998-07-01	1997-07-01	0.4617	0
129	1.3364	1999-07-01	1998-07-01	0.8733	0
129	1.0323	2000-07-01	1999-07-01	0.7662	0
137	1.1088	2001-07-01	2000-07-01	0.6817	0
252	1.6674	2002-07-01	2001-07-01	1.1687	0
219	1.3031	2003-07-01	2002-07-01	0.716	0
374	1.5882	2004-07-01	2003-07-01	0.9975	0
457	2.1801	2005-07-01	2004-07-01	1.6783	0
333	1.1109	2006-07-01	2005-07-01	0.5313	0
414	1.7542	2007-07-01	2006-07-01	1.3624	0
478	1.1794	2008-07-01	2007-07-01	0.8342	0
518	1.6359	2009-07-01	2008-07-01	1.1262	0
393	1.189	2010-07-01	2009-07-01	0.6174	0
593	1.7789	2011-07-01	2010-07-01	1.6066	0
600	2.0894	2012-07-01	2011-07-01	1.9343	0
600	2.097	2013-07-01	2012-07-01	1.7866	0
605	1.6952	2014-07-01	2013-07-01	1.1775	0
598	1.4021	2015-07-01	2014-07-01	1.0007	0
601	1.9012	2016-07-01	2015-07-01	1.6716	0
606	1.6036	2017-07-01	2016-07-01	0.9581	0
603	1.8871	2018-07-01	2017-07-01	1.4846	0
599	1.417	2019-07-01	2018-07-01	1.1168	0
147	0.6429	2020-07-01	2019-07-01	0.2477	0
35	0.9799	1997-07-01	1996-07-01	0.4482	1
108	1.1066	1998-07-01	1997-07-01	0.5186	1
129	1.3717	1999-07-01	1998-07-01	0.8883	1
129	1.2548	2000-07-01	1999-07-01	0.92	1
137	1.0449	2001-07-01	2000-07-01	0.6883	1
252	1.532	2002-07-01	2001-07-01	0.914	1
217	1.0496	2003-07-01	2002-07-01	0.5078	1
376	1.3844	2004-07-01	2003-07-01	0.825	1
457	1.7646	2005-07-01	2004-07-01	1.1552	1
333	0.9772	2006-07-01	2005-07-01	0.4716	1
414	1.5301	2007-07-01	2006-07-01	1.0697	1
478	1.1087	2008-07-01	2007-07-01	0.8609	1
518	1.4384	2009-07-01	2008-07-01	0.92	1
392	1.202	2010-07-01	2009-07-01	0.6205	1
594	1.9399	2011-07-01	2010-07-01	1.7409	1
600	2.1622	2012-07-01	2011-07-01	2.0656	1
601	1.8749	2013-07-01	2012-07-01	1.4075	1
604	1.681	2014-07-01	2013-07-01	1.2375	1
599	1.6549	2015-07-01	2014-07-01	1.3378	1
601	1.4739	2016-07-01	2015-07-01	1.2037	1
605	1.5683	2017-07-01	2016-07-01	1.0549	1
604	1.9973	2018-07-01	2017-07-01	1.7779	1
599	1.6451	2019-07-01	2018-07-01	1.5059	1
147	0.6492	2020-07-01	2019-07-01	0.2751	1
35	0.9372	1997-07-01	1996-07-01	0.417	2
108	1.1804	1998-07-01	1997-07-01	0.5965	2
129	1.355	1999-07-01	1998-07-01	0.8844	2
129	1.157	2000-07-01	1999-07-01	0.792	2
137	1.0826	2001-07-01	2000-07-01	0.7426	2
251	1.7097	2002-07-01	2001-07-01	1.339	2
217	1.0729	2003-07-01	2002-07-01	0.565	2
377	1.3234	2004-07-01	2003-07-01	0.7976	2
457	2.2133	2005-07-01	2004-07-01	1.6348	2
333	1.0693	2006-07-01	2005-07-01	0.5009	2
414	2.3614	2007-07-01	2006-07-01	2.4088	2
478	1.3237	2008-07-01	2007-07-01	0.7873	2
517	1.5124	2009-07-01	2008-07-01	0.9617	2
393	1.2427	2010-07-01	2009-07-01	0.6738	2
594	1.8166	2011-07-01	2010-07-01	1.4952	2
600	2.0523	2012-07-01	2011-07-01	1.9319	2
600	1.8845	2013-07-01	2012-07-01	1.4451	2
606	1.8105	2014-07-01	2013-07-01	1.3532	2
597	1.6526	2015-07-01	2014-07-01	1.5166	2
602	1.4119	2016-07-01	2015-07-01	1.0935	2
606	1.5342	2017-07-01	2016-07-01	0.9576	2
603	1.9406	2018-07-01	2017-07-01	1.4659	2
600	1.5207	2019-07-01	2018-07-01	1.3174	2
146	0.7455	2020-07-01	2019-07-01	0.2929	2
35	1.0668	1997-07-01	1996-07-01	0.5346	3
108	1.0617	1998-07-01	1997-07-01	0.4805	3
129	1.3226	1999-07-01	1998-07-01	0.8353	3
129	1.2683	2000-07-01	1999-07-01	1.0071	3
137	0.9284	2001-07-01	2000-07-01	0.5433	3
252	1.2387	2002-07-01	2001-07-01	0.5884	3
216	1.1268	2003-07-01	2002-07-01	0.7736	3
377	1.2999	2004-07-01	2003-07-01	0.6858	3
457	1.4256	2005-07-01	2004-07-01	1.024	3
333	0.8375	2006-07-01	2005-07-01	0.3636	3
414	1.772	2007-07-01	2006-07-01	1.4621	3
478	1.3235	2008-07-01	2007-07-01	1.033	3
519	1.5156	2009-07-01	2008-07-01	0.9399	3
392	1.2802	2010-07-01	2009-07-01	0.668	3
593	1.7082	2011-07-01	2010-07-01	1.5229	3
600	2.1095	2012-07-01	2011-07-01	2.1095	3
601	1.614	2013-07-01	2012-07-01	1.2676	3
603	1.524	2014-07-01	2013-07-01	1.0953	3
601	1.302	2015-07-01	2014-07-01	0.8554	3
600	1.4154	2016-07-01	2015-07-01	1.0843	3
606	1.4531	2017-07-01	2016-07-01	0.8843	3
603	1.9446	2018-07-01	2017-07-01	1.6144	3
599	1.4259	2019-07-01	2018-07-01	1.3303	3
147	0.603	2020-07-01	2019-07-01	0.2591	3
35	0.9708	1997-07-01	1996-07-01	0.4707	4
108	1.1574	1998-07-01	1997-07-01	0.564	4
129	1.3588	1999-07-01	1998-07-01	0.8507	4
129	1.3083	2000-07-01	1999-07-01	1.073	4
137	1.1308	2001-07-01	2000-07-01	0.7706	4
