count	mean	season_end	season_start	std	replicate
251	1.4721	2002-07-01	2001-07-01	0.9016	4
220	1.3199	2003-07-01	2002-07-01	0.8524	4
374	1.5378	2004-07-01	2003-07-01	0.8891	4
456	2.3359	2005-07-01	2004-07-01	1.7449	4
334	1.1004	2006-07-01	2005-07-01	0.5115	4
414	2.0153	2007-07-01	2006-07-01	1.9727	4
478	1.2398	2008-07-01	2007-07-01	0.9834	4
519	1.6641	2009-07-01	2008-07-01	1.07	4
392	1.2486	2010-07-01	2009-07-01	0.6766	4
593	1.6916	2011-07-01	2010-07-01	1.4374	4
600	2.2854	2012-07-01	2011-07-01	2.2153	4
601	2.0552	2013-07-01	2012-07-01	1.5789	4
603	1.6653	2014-07-01	2013-07-01	1.3176	4
598	1.6634	2015-07-01	2014-07-01	1.4757	4
602	1.3045	2016-07-01	2015-07-01	1.0303	4
606	1.4812	2017-07-01	2016-07-01	0.927	4
603	1.7903	2018-07-01	2017-07-01	1.3406	4
601	1.5331	2019-07-01	2018-07-01	1.4639	4
145	0.6873	2020-07-01	2019-07-01	0.276	4
