current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
1997-07-01	1996-07-01	wolf	8.89	1997-07-01	1996-07-01	0	1936	17212.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1997-07-01	1996-07-01	wolf	10.44	1998-07-01	1997-07-01	0	7568	78995.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1997-07-01	1996-07-01	wolf	11.52	1999-07-01	1998-07-01	0	9592	110469.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	wolf	7.18	1998-07-01	1997-07-01	0	29584	212504.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	wolf	7.02	1999-07-01	1998-07-01	0	37496	263307.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	wolf	8.53	2000-07-01	1999-07-01	0	44376	378543.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	wolf	3.98	1999-07-01	1998-07-01	0	47524	188968.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	wolf	4.42	2000-07-01	1999-07-01	0	56244	248771.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	wolf	5.85	2001-07-01	2000-07-01	0	52974	309723.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	wolf	2.86	2000-07-01	1999-07-01	0	66564	190348.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	wolf	4.53	2001-07-01	2000-07-01	0	62694	284153.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	wolf	5.0	2002-07-01	2001-07-01	0	104232	521590.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	wolf	4.32	2001-07-01	2000-07-01	0	59049	255308.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	wolf	5.31	2002-07-01	2001-07-01	0	98172	521344.0	results/global_mean_seasonal_distances_h3n2_ha_21y.tsv
