current_season_start	current_season_end	other_season_start	other_season_end	distance_map	mean	std	count
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	8.01	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt_nonepitope	1.51	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	krammer	3.08	0.0	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	7.808	0.004472135954999435	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt_nonepitope	1.22	0.0	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	krammer	3.0580000000000003	0.004472135954999689	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	10.19	0.0	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	1.11	0.0	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	krammer	3.85	0.0	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	5.036	0.008944271909999378	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt_nonepitope	0.67	0.0	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	krammer	1.7779999999999998	0.004472135954999596	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	8.45	0.0	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	0.56	0.0	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	krammer	2.818	0.004472135954999472	5
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	10.958	0.0044721359550001045	5
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	0.63	0.0	5
1997-07-01	1998-07-01	1999-07-01	2000-07-01	krammer	3.908	0.004472135954999689	5
1998-07-01	1999-07-01	1998-07-01	1999-07-01	bhatt	7.959999999999999	0.0	5
1998-07-01	1999-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	0.43	0.0	5
1998-07-01	1999-07-01	1998-07-01	1999-07-01	krammer	2.86	0.0	5
1998-07-01	1999-07-01	1999-07-01	2000-07-01	bhatt	10.44	0.0	5
1998-07-01	1999-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	0.5	0.0	5
1998-07-01	1999-07-01	1999-07-01	2000-07-01	krammer	3.71	0.0	5
1998-07-01	1999-07-01	2000-07-01	2001-07-01	bhatt	11.64	0.012247448713915327	5
1998-07-01	1999-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	0.8800000000000001	0.012247448713915901	5
1998-07-01	1999-07-01	2000-07-01	2001-07-01	krammer	3.8920000000000003	0.004472135954999472	5
1999-07-01	2000-07-01	1999-07-01	2000-07-01	bhatt	2.66	0.0	5
1999-07-01	2000-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	0.57	0.0	5
1999-07-01	2000-07-01	1999-07-01	2000-07-01	krammer	0.71	0.0	5
1999-07-01	2000-07-01	2000-07-01	2001-07-01	bhatt	3.55	0.014142135623730847	5
1999-07-01	2000-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	0.922	0.008366600265340763	5
1999-07-01	2000-07-01	2000-07-01	2001-07-01	krammer	0.7220000000000001	0.004472135954999596	5
1999-07-01	2000-07-01	2001-07-01	2002-07-01	bhatt	7.661999999999999	0.013038404810404995	5
1999-07-01	2000-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	1.67	0.0	5
1999-07-01	2000-07-01	2001-07-01	2002-07-01	krammer	2.082	0.0044721359549995034	5
2000-07-01	2001-07-01	2000-07-01	2001-07-01	bhatt	3.4520000000000004	0.016431676725154935	5
2000-07-01	2001-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	1.136	0.019493588689617872	5
2000-07-01	2001-07-01	2000-07-01	2001-07-01	krammer	0.664	0.008944271909999166	5
2000-07-01	2001-07-01	2001-07-01	2002-07-01	bhatt	7.914	0.016733200530681246	5
2000-07-01	2001-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	1.922	0.00836660026534075	5
2000-07-01	2001-07-01	2001-07-01	2002-07-01	krammer	1.8240000000000003	0.005477225575051642	5
2000-07-01	2001-07-01	2002-07-01	2003-07-01	bhatt	8.516	0.02607680962081026	5
2000-07-01	2001-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	2.3120000000000003	0.008366600265340748	5
2000-07-01	2001-07-01	2002-07-01	2003-07-01	krammer	1.848	0.013038404810405312	5
2001-07-01	2002-07-01	2001-07-01	2002-07-01	bhatt	5.608	0.028635642126552393	5
2001-07-01	2002-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	1.61	0.007071067811865566	5
2001-07-01	2002-07-01	2001-07-01	2002-07-01	krammer	1.03	0.014142135623730926	5
2001-07-01	2002-07-01	2002-07-01	2003-07-01	bhatt	7.203999999999999	0.02073644135332803	5
2001-07-01	2002-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	2.188	0.013038404810405335	5
2001-07-01	2002-07-01	2002-07-01	2003-07-01	krammer	1.5340000000000003	0.0054772255750516596	5
2001-07-01	2002-07-01	2003-07-01	2004-07-01	bhatt	8.244	0.01516575088810269	5
2001-07-01	2002-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	2.1540000000000004	0.01341640786499869	5
2001-07-01	2002-07-01	2003-07-01	2004-07-01	krammer	2.2079999999999997	0.0044721359549995034	5
2002-07-01	2003-07-01	2002-07-01	2003-07-01	bhatt	7.494	0.027018512172212333	5
2002-07-01	2003-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	2.4000000000000004	0.00999999999999994	5
2002-07-01	2003-07-01	2002-07-01	2003-07-01	krammer	1.7899999999999998	0.0	5
2002-07-01	2003-07-01	2003-07-01	2004-07-01	bhatt	8.17	0.02236067977499752	5
2002-07-01	2003-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	2.402	0.008366600265340893	5
2002-07-01	2003-07-01	2003-07-01	2004-07-01	krammer	2.21	0.010000000000000078	5
2002-07-01	2003-07-01	2004-07-01	2005-07-01	bhatt	10.162	0.048682645778552455	5
2002-07-01	2003-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	3.0660000000000003	0.013416407864998927	5
2002-07-01	2003-07-01	2004-07-01	2005-07-01	krammer	2.94	0.012247448713915796	5
2003-07-01	2004-07-01	2003-07-01	2004-07-01	bhatt	7.494	0.019493588689617782	5
2003-07-01	2004-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	2.3680000000000003	0.026832815729997555	5
2003-07-01	2004-07-01	2003-07-01	2004-07-01	krammer	1.782	0.01303840481040543	5
2003-07-01	2004-07-01	2004-07-01	2005-07-01	bhatt	9.528	0.049699094559156845	5
2003-07-01	2004-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	3.1620000000000004	0.021679483388678852	5
2003-07-01	2004-07-01	2004-07-01	2005-07-01	krammer	2.1919999999999997	0.010954451150103257	5
2003-07-01	2004-07-01	2005-07-01	2006-07-01	bhatt	10.34	0.03937003937005885	5
2003-07-01	2004-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	3.3980000000000006	0.016431676725154807	5
2003-07-01	2004-07-01	2005-07-01	2006-07-01	krammer	2.5780000000000003	0.008366600265340649	5
2004-07-01	2005-07-01	2004-07-01	2005-07-01	bhatt	2.7640000000000002	0.06804410334481595	5
2004-07-01	2005-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	0.974	0.0409878030638384	5
2004-07-01	2005-07-01	2004-07-01	2005-07-01	krammer	0.9099999999999999	0.021213203435596427	5
2004-07-01	2005-07-01	2005-07-01	2006-07-01	bhatt	3.71	0.030822070014844678	5
2004-07-01	2005-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	1.0779999999999998	0.013038404810405265	5
2004-07-01	2005-07-01	2005-07-01	2006-07-01	krammer	1.248	0.010954451150103333	5
2004-07-01	2005-07-01	2006-07-01	2007-07-01	bhatt	5.843999999999999	0.04098780306383847	5
2004-07-01	2005-07-01	2006-07-01	2007-07-01	bhatt_nonepitope	2.2340000000000004	0.023021728866442468	5
2004-07-01	2005-07-01	2006-07-01	2007-07-01	krammer	2.506	0.020736441353327483	5
2005-07-01	2006-07-01	2005-07-01	2006-07-01	bhatt	4.134	0.019493588689617865	5
2005-07-01	2006-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	1.114	0.020736441353327625	5
2005-07-01	2006-07-01	2005-07-01	2006-07-01	krammer	1.488	0.010954451150103368	5
