count	mean	season_end	season_start	std	replicate
435	1.0119	2008-07-01	2007-07-01	0.6118	4
476	1.5908	2009-07-01	2008-07-01	1.1478	4
337	1.1644	2010-07-01	2009-07-01	0.5921	4
558	2.1645	2011-07-01	2010-07-01	1.9474	4
529	2.1948	2012-07-01	2011-07-01	1.8597	4
568	2.2471	2013-07-01	2012-07-01	1.6787	4
556	1.8192	2014-07-01	2013-07-01	1.2595	4
577	2.4441	2015-07-01	2014-07-01	2.1081	4
598	2.0321	2016-07-01	2015-07-01	1.8197	4
613	1.4942	2017-07-01	2016-07-01	0.8448	4
599	2.137	2018-07-01	2017-07-01	1.5742	4
600	1.6817	2019-07-01	2018-07-01	1.2817	4
153	0.8681	2020-07-01	2019-07-01	0.4296	4
