current_season_start	current_season_end	other_season_start	other_season_end	distance_map	mean	std	count
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	8.01	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt_nonepitope	1.51	0.0	5
1996-07-01	1997-07-01	1996-07-01	1997-07-01	krammer	3.08	0.0	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	7.81	0.0	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt_nonepitope	1.22	0.0	5
1996-07-01	1997-07-01	1997-07-01	1998-07-01	krammer	3.06	0.0	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	10.19	0.0	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	1.112	0.004472135954999608	5
1996-07-01	1997-07-01	1998-07-01	1999-07-01	krammer	3.85	0.0	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	5.04	0.0	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt_nonepitope	0.67	0.0	5
1997-07-01	1998-07-01	1997-07-01	1998-07-01	krammer	1.78	0.0	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	8.45	0.0	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	0.562	0.00447213595499953	5
1997-07-01	1998-07-01	1998-07-01	1999-07-01	krammer	2.82	0.0	5
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	10.96	0.0	5
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	0.636	0.0054772255750516665	5
1997-07-01	1998-07-01	1999-07-01	2000-07-01	krammer	3.91	0.0	5
1998-07-01	1999-07-01	1998-07-01	1999-07-01	bhatt	7.959999999999999	0.0	5
1998-07-01	1999-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	0.434	0.00894427190999917	5
1998-07-01	1999-07-01	1998-07-01	1999-07-01	krammer	2.86	0.0	5
1998-07-01	1999-07-01	1999-07-01	2000-07-01	bhatt	10.44	0.0	5
1998-07-01	1999-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	0.508	0.004472135954999567	5
1998-07-01	1999-07-01	1999-07-01	2000-07-01	krammer	3.71	0.0	5
1998-07-01	1999-07-01	2000-07-01	2001-07-01	bhatt	11.508	0.008366600265340984	5
1998-07-01	1999-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	0.8080000000000002	0.014832396974191303	5
1998-07-01	1999-07-01	2000-07-01	2001-07-01	krammer	3.84	0.0	5
1999-07-01	2000-07-01	1999-07-01	2000-07-01	bhatt	2.66	0.0	5
1999-07-01	2000-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	0.576	0.0054772255750516665	5
1999-07-01	2000-07-01	1999-07-01	2000-07-01	krammer	0.71	0.0	5
1999-07-01	2000-07-01	2000-07-01	2001-07-01	bhatt	3.372	0.008366600265340637	5
1999-07-01	2000-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	0.8560000000000001	0.01516575088810311	5
1999-07-01	2000-07-01	2000-07-01	2001-07-01	krammer	0.67	0.0	5
1999-07-01	2000-07-01	2001-07-01	2002-07-01	bhatt	7.692	0.004472135954999468	5
1999-07-01	2000-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	1.652	0.008366600265340737	5
1999-07-01	2000-07-01	2001-07-01	2002-07-01	krammer	2.104	0.0054772255750515034	5
2000-07-01	2001-07-01	2000-07-01	2001-07-01	bhatt	3.102	0.01303840481040542	5
2000-07-01	2001-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	1.042	0.022803508501982796	5
2000-07-01	2001-07-01	2000-07-01	2001-07-01	krammer	0.56	0.0	5
2000-07-01	2001-07-01	2001-07-01	2002-07-01	bhatt	7.9159999999999995	0.0054772255750515034	5
2000-07-01	2001-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	1.8559999999999999	0.015165750888103038	5
2000-07-01	2001-07-01	2001-07-01	2002-07-01	krammer	1.8400000000000003	0.0	5
2000-07-01	2001-07-01	2002-07-01	2003-07-01	bhatt	8.516	0.025099800796022607	5
2000-07-01	2001-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	2.284	0.016733200530681478	5
2000-07-01	2001-07-01	2002-07-01	2003-07-01	krammer	1.8360000000000003	0.011401754250991476	5
2001-07-01	2002-07-01	2001-07-01	2002-07-01	bhatt	5.484	0.023021728866442655	5
2001-07-01	2002-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	1.536	0.005477225575051657	5
2001-07-01	2002-07-01	2001-07-01	2002-07-01	krammer	1.0	0.0	5
2001-07-01	2002-07-01	2002-07-01	2003-07-01	bhatt	7.203999999999999	0.01816590212458485	5
2001-07-01	2002-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	2.1580000000000004	0.00836660026534069	5
2001-07-01	2002-07-01	2002-07-01	2003-07-01	krammer	1.53	0.0	5
2001-07-01	2002-07-01	2003-07-01	2004-07-01	bhatt	8.098	0.016431676725155196	5
2001-07-01	2002-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	2.054	0.005477225575051724	5
2001-07-01	2002-07-01	2003-07-01	2004-07-01	krammer	2.166	0.005477225575051555	5
2002-07-01	2003-07-01	2002-07-01	2003-07-01	bhatt	7.529999999999999	0.027386127875258567	5
2002-07-01	2003-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	2.386	0.005477225575051877	5
2002-07-01	2003-07-01	2002-07-01	2003-07-01	krammer	1.794	0.00547722557505161	5
2002-07-01	2003-07-01	2003-07-01	2004-07-01	bhatt	8.132000000000001	0.02863564212655301	5
2002-07-01	2003-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	2.36	0.007071067811865521	5
2002-07-01	2003-07-01	2003-07-01	2004-07-01	krammer	2.194	0.00547722557505181	5
2002-07-01	2003-07-01	2004-07-01	2005-07-01	bhatt	10.16	0.036742346141747664	5
2002-07-01	2003-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	3.0460000000000003	0.005477225575051555	5
2002-07-01	2003-07-01	2004-07-01	2005-07-01	krammer	2.944	0.005477225575051815	5
2003-07-01	2004-07-01	2003-07-01	2004-07-01	bhatt	7.337999999999999	0.0342052627529745	5
2003-07-01	2004-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	2.286	0.0054772255750518434	5
2003-07-01	2004-07-01	2003-07-01	2004-07-01	krammer	1.732	0.008366600265340763	5
2003-07-01	2004-07-01	2004-07-01	2005-07-01	bhatt	9.762	0.03563705936241089	5
2003-07-01	2004-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	3.218	0.013038404810405337	5
2003-07-01	2004-07-01	2004-07-01	2005-07-01	krammer	2.2	0.0070710678118655074	5
2003-07-01	2004-07-01	2005-07-01	2006-07-01	bhatt	10.428	0.04969909455915684	5
2003-07-01	2004-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	3.438	0.010954451150103389	5
2003-07-01	2004-07-01	2005-07-01	2006-07-01	krammer	2.4880000000000004	0.013038404810405193	5
2004-07-01	2005-07-01	2004-07-01	2005-07-01	bhatt	2.774	0.027018512172212555	5
2004-07-01	2005-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	0.968	0.021679483388678804	5
2004-07-01	2005-07-01	2004-07-01	2005-07-01	krammer	0.884	0.011401754250991401	5
2004-07-01	2005-07-01	2005-07-01	2006-07-01	bhatt	3.53	0.018708286933869885	5
2004-07-01	2005-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	1.028	0.010954451150103368	5
2004-07-01	2005-07-01	2005-07-01	2006-07-01	krammer	1.214	0.011401754250991367	5
2004-07-01	2005-07-01	2006-07-01	2007-07-01	bhatt	5.909999999999999	0.024494897427832066	5
2004-07-01	2005-07-01	2006-07-01	2007-07-01	bhatt_nonepitope	2.2220000000000004	0.014832396974191413	5
2004-07-01	2005-07-01	2006-07-01	2007-07-01	krammer	2.482	0.013038404810405248	5
2005-07-01	2006-07-01	2005-07-01	2006-07-01	bhatt	3.882	0.019235384061671412	5
2005-07-01	2006-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	1.0340000000000003	0.005477225575051693	5
2005-07-01	2006-07-01	2005-07-01	2006-07-01	krammer	1.448	0.013038404810405314	5
2005-07-01	2006-07-01	2006-07-01	2007-07-01	bhatt	6.298	0.013038404810405078	5
