current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
2009-07-01	2008-07-01	stem	1.14	2009-07-01	2008-07-01	0	252004	287060.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2009-07-01	2008-07-01	stem	1.72	2010-07-01	2009-07-01	0	189756	326475.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2009-07-01	2008-07-01	stem	2.37	2011-07-01	2010-07-01	0	272084	643588.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	stem	2.05	2010-07-01	2009-07-01	0	142884	292460.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	stem	2.71	2011-07-01	2010-07-01	0	204876	554539.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	stem	3.49	2012-07-01	2011-07-01	0	202986	708057.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	stem	2.77	2011-07-01	2010-07-01	0	293764	813898.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	stem	3.83	2012-07-01	2011-07-01	0	291054	1114159.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	stem	5.85	2013-07-01	2012-07-01	0	305688	1789281.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	stem	3.75	2012-07-01	2011-07-01	0	288369	1082824.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	stem	4.98	2013-07-01	2012-07-01	0	302868	1507549.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	stem	5.93	2014-07-01	2013-07-01	0	306627	1818145.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	stem	3.65	2013-07-01	2012-07-01	0	318096	1161222.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	stem	3.45	2014-07-01	2013-07-01	0	322044	1112643.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	stem	4.33	2015-07-01	2014-07-01	0	332196	1438564.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2014-07-01	2013-07-01	stem	2.47	2014-07-01	2013-07-01	0	326041	806786.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2014-07-01	2013-07-01	stem	3.11	2015-07-01	2014-07-01	0	336319	1044351.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2014-07-01	2013-07-01	stem	3.84	2016-07-01	2015-07-01	0	342600	1316034.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2015-07-01	2014-07-01	stem	2.7	2015-07-01	2014-07-01	0	346921	936004.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2015-07-01	2014-07-01	stem	3.03	2016-07-01	2015-07-01	0	353400	1071342.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2015-07-01	2014-07-01	stem	3.67	2017-07-01	2016-07-01	0	361057	1324900.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2016-07-01	2015-07-01	stem	2.91	2016-07-01	2015-07-01	0	360000	1048032.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2016-07-01	2015-07-01	stem	3.21	2017-07-01	2016-07-01	0	367800	1181872.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2016-07-01	2015-07-01	stem	2.79	2018-07-01	2017-07-01	0	363600	1015947.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2017-07-01	2016-07-01	stem	3.02	2017-07-01	2016-07-01	0	375769	1133246.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2017-07-01	2016-07-01	stem	2.77	2018-07-01	2017-07-01	0	371478	1029649.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
