count	mean	season_end	season_start	std	replicate
44	1.1484	1997-07-01	1996-07-01	0.3697	0
172	1.5914	1998-07-01	1997-07-01	0.7786	0
219	1.9584	1999-07-01	1998-07-01	1.5354	0
254	1.744	2000-07-01	1999-07-01	1.1838	0
218	1.7338	2001-07-01	2000-07-01	1.5178	0
369	1.8095	2002-07-01	2001-07-01	1.1738	0
348	1.6665	2003-07-01	2002-07-01	1.1305	0
451	1.4892	2004-07-01	2003-07-01	0.8729	0
496	1.6251	2005-07-01	2004-07-01	1.1556	0
457	1.2422	2006-07-01	2005-07-01	0.8548	0
505	3.7556	2007-07-01	2006-07-01	3.7329	0
471	2.5038	2008-07-01	2007-07-01	1.5729	0
502	1.7668	2009-07-01	2008-07-01	1.2757	0
378	1.7043	2010-07-01	2009-07-01	0.9722	0
542	2.6256	2011-07-01	2010-07-01	2.1246	0
537	2.4351	2012-07-01	2011-07-01	2.1768	0
564	3.1176	2013-07-01	2012-07-01	2.5976	0
571	2.1564	2014-07-01	2013-07-01	1.5127	0
589	2.7179	2015-07-01	2014-07-01	2.085	0
600	2.1148	2016-07-01	2015-07-01	1.7565	0
613	1.8102	2017-07-01	2016-07-01	1.0689	0
606	2.7121	2018-07-01	2017-07-01	2.2259	0
603	2.2871	2019-07-01	2018-07-01	1.8782	0
152	1.1777	2020-07-01	2019-07-01	0.7385	0
44	1.1113	1997-07-01	1996-07-01	0.3801	1
172	1.5326	1998-07-01	1997-07-01	0.757	1
219	1.9763	1999-07-01	1998-07-01	1.5077	1
254	1.3377	2000-07-01	1999-07-01	0.7907	1
218	1.5328	2001-07-01	2000-07-01	1.3576	1
370	1.6321	2002-07-01	2001-07-01	1.0194	1
347	1.5701	2003-07-01	2002-07-01	1.0794	1
451	1.439	2004-07-01	2003-07-01	0.7425	1
493	1.7705	2005-07-01	2004-07-01	1.12	1
462	1.5736	2006-07-01	2005-07-01	1.1465	1
501	1.4598	2007-07-01	2006-07-01	0.9986	1
473	1.8147	2008-07-01	2007-07-01	1.7846	1
500	1.8512	2009-07-01	2008-07-01	1.2642	1
380	1.5564	2010-07-01	2009-07-01	0.8372	1
542	2.9086	2011-07-01	2010-07-01	2.3683	1
537	2.2395	2012-07-01	2011-07-01	1.8951	1
563	3.276	2013-07-01	2012-07-01	2.7643	1
572	1.9486	2014-07-01	2013-07-01	1.2604	1
590	3.644	2015-07-01	2014-07-01	3.1575	1
599	2.0272	2016-07-01	2015-07-01	1.6115	1
614	1.667	2017-07-01	2016-07-01	0.977	1
606	2.9181	2018-07-01	2017-07-01	2.5412	1
602	2.208	2019-07-01	2018-07-01	1.8502	1
152	1.1239	2020-07-01	2019-07-01	0.7449	1
44	1.1404	1997-07-01	1996-07-01	0.3791	2
172	1.5858	1998-07-01	1997-07-01	0.8019	2
218	1.9288	1999-07-01	1998-07-01	1.4658	2
255	1.8209	2000-07-01	1999-07-01	1.3317	2
218	1.7843	2001-07-01	2000-07-01	1.6176	2
370	1.605	2002-07-01	2001-07-01	1.023	2
349	1.5735	2003-07-01	2002-07-01	1.0794	2
449	1.5227	2004-07-01	2003-07-01	0.8824	2
494	1.7043	2005-07-01	2004-07-01	1.2635	2
460	1.3513	2006-07-01	2005-07-01	0.8571	2
504	2.0619	2007-07-01	2006-07-01	1.9271	2
471	1.891	2008-07-01	2007-07-01	1.383	2
502	1.8823	2009-07-01	2008-07-01	1.3755	2
376	1.793	2010-07-01	2009-07-01	0.9883	2
544	2.5291	2011-07-01	2010-07-01	1.9496	2
537	2.3719	2012-07-01	2011-07-01	2.0502	2
564	2.3048	2013-07-01	2012-07-01	1.8466	2
570	2.0638	2014-07-01	2013-07-01	1.4023	2
592	2.9331	2015-07-01	2014-07-01	2.5121	2
598	2.0922	2016-07-01	2015-07-01	1.9148	2
614	1.7867	2017-07-01	2016-07-01	1.0733	2
604	2.8019	2018-07-01	2017-07-01	2.2374	2
603	2.1185	2019-07-01	2018-07-01	1.6357	2
153	1.1811	2020-07-01	2019-07-01	0.8663	2
44	1.0051	1997-07-01	1996-07-01	0.3874	3
172	1.5165	1998-07-01	1997-07-01	0.7802	3
218	1.8724	1999-07-01	1998-07-01	1.4466	3
255	2.2359	2000-07-01	1999-07-01	1.7829	3
218	1.8504	2001-07-01	2000-07-01	1.6	3
369	1.7165	2002-07-01	2001-07-01	1.1259	3
348	1.6577	2003-07-01	2002-07-01	1.2431	3
451	1.4715	2004-07-01	2003-07-01	0.8324	3
495	2.0331	2005-07-01	2004-07-01	1.4336	3
459	1.2125	2006-07-01	2005-07-01	0.7194	3
503	2.2884	2007-07-01	2006-07-01	2.1738	3
472	2.1116	2008-07-01	2007-07-01	2.1738	3
502	1.8902	2009-07-01	2008-07-01	1.3242	3
376	1.6668	2010-07-01	2009-07-01	0.8655	3
544	2.5491	2011-07-01	2010-07-01	2.0204	3
537	2.1991	2012-07-01	2011-07-01	1.8358	3
564	2.7947	2013-07-01	2012-07-01	2.2586	3
572	2.0536	2014-07-01	2013-07-01	1.3539	3
589	3.2526	2015-07-01	2014-07-01	2.721	3
598	2.2442	2016-07-01	2015-07-01	2.1234	3
614	1.8161	2017-07-01	2016-07-01	1.0518	3
606	2.7478	2018-07-01	2017-07-01	2.2549	3
602	2.3346	2019-07-01	2018-07-01	1.9826	3
152	1.0111	2020-07-01	2019-07-01	0.6209	3
44	1.1416	1997-07-01	1996-07-01	0.3856	4
172	1.6286	1998-07-01	1997-07-01	0.8602	4
218	1.9742	1999-07-01	1998-07-01	1.5363	4
255	2.3463	2000-07-01	1999-07-01	1.8757	4
218	1.8829	2001-07-01	2000-07-01	1.7559	4
369	1.634	2002-07-01	2001-07-01	1.0806	4
350	1.624	2003-07-01	2002-07-01	1.1163	4
449	1.6959	2004-07-01	2003-07-01	1.0658	4
494	2.1347	2005-07-01	2004-07-01	1.7419	4
461	1.6617	2006-07-01	2005-07-01	1.2793	4
503	2.5598	2007-07-01	2006-07-01	2.4912	4
471	2.5592	2008-07-01	2007-07-01	2.4342	4
503	1.9868	2009-07-01	2008-07-01	1.2977	4
376	1.513	2010-07-01	2009-07-01	0.7475	4
543	2.7905	2011-07-01	2010-07-01	2.2184	4
537	2.4144	2012-07-01	2011-07-01	2.2915	4
564	2.3628	2013-07-01	2012-07-01	2.197	4
571	2.0312	2014-07-01	2013-07-01	1.2674	4
590	3.0877	2015-07-01	2014-07-01	2.7183	4
599	2.0132	2016-07-01	2015-07-01	1.6751	4
612	1.8663	2017-07-01	2016-07-01	1.0793	4
606	2.6845	2018-07-01	2017-07-01	2.2249	4
602	2.2734	2019-07-01	2018-07-01	1.9059	4
153	1.0631	2020-07-01	2019-07-01	0.7345	4
