count	mean	season_end	season_start	std	replicate
44	1.1143	1997-07-01	1996-07-01	0.3729	0
172	1.5584	1998-07-01	1997-07-01	0.7758	0
218	2.014	1999-07-01	1998-07-01	1.5701	0
258	1.7173	2000-07-01	1999-07-01	1.3729	0
243	2.0112	2001-07-01	2000-07-01	1.8258	0
404	1.6552	2002-07-01	2001-07-01	1.078	0
459	1.9921	2003-07-01	2002-07-01	1.5621	0
551	1.6372	2004-07-01	2003-07-01	0.879	0
601	2.0778	2005-07-01	2004-07-01	1.457	0
508	1.1673	2006-07-01	2005-07-01	0.7907	0
559	2.1738	2007-07-01	2006-07-01	2.206	0
579	2.2089	2008-07-01	2007-07-01	1.9367	0
588	2.0228	2009-07-01	2008-07-01	1.3336	0
475	2.1767	2010-07-01	2009-07-01	1.5031	0
596	2.0964	2011-07-01	2010-07-01	1.643	0
600	2.6423	2012-07-01	2011-07-01	2.5975	0
601	2.8519	2013-07-01	2012-07-01	2.5171	0
609	1.9575	2014-07-01	2013-07-01	1.3031	0
599	2.6198	2015-07-01	2014-07-01	2.3609	0
597	2.0857	2016-07-01	2015-07-01	1.8232	0
606	1.7708	2017-07-01	2016-07-01	1.0852	0
604	2.2987	2018-07-01	2017-07-01	1.8441	0
601	1.9938	2019-07-01	2018-07-01	1.7377	0
144	0.855	2020-07-01	2019-07-01	0.4085	0
44	0.9983	1997-07-01	1996-07-01	0.3749	1
172	1.635	1998-07-01	1997-07-01	0.9016	1
218	2.0683	1999-07-01	1998-07-01	1.639	1
258	1.9531	2000-07-01	1999-07-01	1.5147	1
243	1.9295	2001-07-01	2000-07-01	1.7203	1
404	1.7867	2002-07-01	2001-07-01	1.1559	1
456	1.7771	2003-07-01	2002-07-01	1.2656	1
554	1.5392	2004-07-01	2003-07-01	0.7796	1
603	2.1253	2005-07-01	2004-07-01	1.5244	1
506	1.4202	2006-07-01	2005-07-01	0.9505	1
558	2.4241	2007-07-01	2006-07-01	2.1731	1
580	1.7456	2008-07-01	2007-07-01	1.048	1
586	1.7741	2009-07-01	2008-07-01	1.1585	1
479	2.1758	2010-07-01	2009-07-01	1.5845	1
594	2.4006	2011-07-01	2010-07-01	2.0062	1
600	2.8362	2012-07-01	2011-07-01	2.8084	1
601	2.6523	2013-07-01	2012-07-01	2.271	1
606	1.9005	2014-07-01	2013-07-01	1.3132	1
601	2.5602	2015-07-01	2014-07-01	2.224	1
599	2.0805	2016-07-01	2015-07-01	1.5977	1
606	1.9309	2017-07-01	2016-07-01	1.2919	1
602	2.1516	2018-07-01	2017-07-01	1.5537	1
599	1.8752	2019-07-01	2018-07-01	1.5327	1
148	0.8253	2020-07-01	2019-07-01	0.3713	1
44	1.1076	1997-07-01	1996-07-01	0.3803	2
172	1.592	1998-07-01	1997-07-01	0.8367	2
219	1.9198	1999-07-01	1998-07-01	1.4704	2
257	1.8493	2000-07-01	1999-07-01	1.3028	2
243	2.1559	2001-07-01	2000-07-01	1.9887	2
404	1.5875	2002-07-01	2001-07-01	0.9962	2
457	1.6483	2003-07-01	2002-07-01	1.1127	2
553	1.6453	2004-07-01	2003-07-01	1.0014	2
600	2.2859	2005-07-01	2004-07-01	1.9798	2
509	1.1874	2006-07-01	2005-07-01	0.6851	2
558	2.2961	2007-07-01	2006-07-01	2.4467	2
580	2.0201	2008-07-01	2007-07-01	1.6575	2
588	1.7571	2009-07-01	2008-07-01	1.0167	2
472	1.6541	2010-07-01	2009-07-01	0.9768	2
599	2.4241	2011-07-01	2010-07-01	2.0768	2
600	2.9587	2012-07-01	2011-07-01	2.9996	2
601	3.1436	2013-07-01	2012-07-01	2.5216	2
608	1.9068	2014-07-01	2013-07-01	1.2196	2
599	2.6851	2015-07-01	2014-07-01	2.3554	2
598	2.0256	2016-07-01	2015-07-01	1.5895	2
605	1.7633	2017-07-01	2016-07-01	1.1856	2
605	2.241	2018-07-01	2017-07-01	1.7177	2
598	1.8972	2019-07-01	2018-07-01	1.6144	2
147	0.8252	2020-07-01	2019-07-01	0.3757	2
44	1.0789	1997-07-01	1996-07-01	0.3566	3
172	1.5742	1998-07-01	1997-07-01	0.7919	3
219	2.039	1999-07-01	1998-07-01	1.6127	3
257	1.2415	2000-07-01	1999-07-01	0.7474	3
243	2.0442	2001-07-01	2000-07-01	1.8078	3
404	1.7675	2002-07-01	2001-07-01	1.1648	3
456	1.7553	2003-07-01	2002-07-01	1.3808	3
554	1.6606	2004-07-01	2003-07-01	0.9279	3
599	2.0602	2005-07-01	2004-07-01	1.4181	3
510	1.1805	2006-07-01	2005-07-01	0.7132	3
561	1.597	2007-07-01	2006-07-01	1.412	3
577	1.4174	2008-07-01	2007-07-01	1.1318	3
587	1.853	2009-07-01	2008-07-01	1.3117	3
476	1.4777	2010-07-01	2009-07-01	0.6477	3
596	2.3072	2011-07-01	2010-07-01	1.8325	3
600	2.6743	2012-07-01	2011-07-01	2.7372	3
602	2.6414	2013-07-01	2012-07-01	2.2553	3
605	1.7773	2014-07-01	2013-07-01	1.2316	3
604	2.5309	2015-07-01	2014-07-01	2.156	3
596	2.1459	2016-07-01	2015-07-01	1.8351	3
605	1.8791	2017-07-01	2016-07-01	1.1695	3
604	2.4028	2018-07-01	2017-07-01	1.8993	3
600	1.8277	2019-07-01	2018-07-01	1.5612	3
146	0.8156	2020-07-01	2019-07-01	0.3397	3
44	1.1328	1997-07-01	1996-07-01	0.4025	4
172	1.4348	1998-07-01	1997-07-01	0.6923	4
218	1.9811	1999-07-01	1998-07-01	1.5748	4
258	2.4615	2000-07-01	1999-07-01	1.9114	4
243	2.2762	2001-07-01	2000-07-01	2.1061	4
404	1.7235	2002-07-01	2001-07-01	1.1019	4
455	1.6513	2003-07-01	2002-07-01	1.1548	4
555	1.7347	2004-07-01	2003-07-01	0.9998	4
599	1.8616	2005-07-01	2004-07-01	1.2727	4
510	1.3293	2006-07-01	2005-07-01	0.9171	4
557	1.807	2007-07-01	2006-07-01	1.4057	4
581	1.9126	2008-07-01	2007-07-01	1.6692	4
586	2.1743	2009-07-01	2008-07-01	1.5216	4
476	1.8555	2010-07-01	2009-07-01	1.2674	4
597	2.4877	2011-07-01	2010-07-01	2.0136	4
600	2.8258	2012-07-01	2011-07-01	2.8361	4
602	3.0741	2013-07-01	2012-07-01	2.4614	4
604	1.7661	2014-07-01	2013-07-01	1.1875	4
605	2.7791	2015-07-01	2014-07-01	2.5441	4
596	1.9174	2016-07-01	2015-07-01	1.5759	4
606	1.8258	2017-07-01	2016-07-01	1.1023	4
604	2.3477	2018-07-01	2017-07-01	1.8698	4
598	1.9496	2019-07-01	2018-07-01	1.7148	4
147	0.7729	2020-07-01	2019-07-01	0.3616	4
