season_start	season_end	mean	std	count
1996-07-01	1997-07-01	0.9478	0.4843	32
1997-07-01	1998-07-01	1.2148	0.6295	92
1998-07-01	1999-07-01	1.3646	0.9104	124
1999-07-01	2000-07-01	1.2055	0.8049	116
2000-07-01	2001-07-01	1.0078	0.4047	115
2001-07-01	2002-07-01	1.7700	1.2233	226
2002-07-01	2003-07-01	1.4003	0.7551	197
2003-07-01	2004-07-01	1.8044	1.0944	358
2004-07-01	2005-07-01	2.0130	1.0935	423
2005-07-01	2006-07-01	1.0546	0.4051	308
2006-07-01	2007-07-01	2.3827	2.4166	392
2007-07-01	2008-07-01	1.4320	1.0850	460
2008-07-01	2009-07-01	1.7778	1.1950	512
2009-07-01	2010-07-01	1.3890	0.7511	391
2010-07-01	2011-07-01	2.3622	2.4298	593
2011-07-01	2012-07-01	1.8130	1.6319	600
2012-07-01	2013-07-01	1.8193	1.3730	602
2013-07-01	2014-07-01	1.5844	1.1131	601
2014-07-01	2015-07-01	1.5419	1.2789	593
2015-07-01	2016-07-01	1.5180	1.2622	595
2016-07-01	2017-07-01	1.4745	0.9059	608
2017-07-01	2018-07-01	1.8711	1.2830	604
2018-07-01	2019-07-01	1.4339	1.0821	599
2019-07-01	2020-07-01	0.7215	0.3115	147
