current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance
1997-07-01	1996-07-01	titer_substitution_model	1.85	1997-07-01	1996-07-01	0	1936	3572.16
1997-07-01	1996-07-01	titer_substitution_model	1.97	1998-07-01	1997-07-01	0	5632	11068.18
1997-07-01	1996-07-01	titer_substitution_model	2.01	1999-07-01	1998-07-01	0	6952	13996.77
1998-07-01	1997-07-01	titer_substitution_model	1.22	1998-07-01	1997-07-01	0	16384	19928.52
1998-07-01	1997-07-01	titer_substitution_model	0.96	1999-07-01	1998-07-01	0	20224	19488.96
1998-07-01	1997-07-01	titer_substitution_model	1.18	2000-07-01	1999-07-01	0	24320	28605.43
1999-07-01	1998-07-01	titer_substitution_model	0.59	1999-07-01	1998-07-01	0	24964	14842.01
1999-07-01	1998-07-01	titer_substitution_model	0.64	2000-07-01	1999-07-01	0	30020	19159.51
1999-07-01	1998-07-01	titer_substitution_model	0.74	2001-07-01	2000-07-01	0	33496	24661.59
2000-07-01	1999-07-01	titer_substitution_model	0.28	2000-07-01	1999-07-01	0	36100	10145.3
2000-07-01	1999-07-01	titer_substitution_model	0.36	2001-07-01	2000-07-01	0	40280	14387.86
2000-07-01	1999-07-01	titer_substitution_model	0.85	2002-07-01	2001-07-01	0	70490	60245.47
2001-07-01	2000-07-01	titer_substitution_model	0.27	2001-07-01	2000-07-01	0	44944	12022.19
2001-07-01	2000-07-01	titer_substitution_model	0.58	2002-07-01	2001-07-01	0	78652	45755.79
2001-07-01	2000-07-01	titer_substitution_model	1.46	2003-07-01	2002-07-01	0	72928	106304.08
2002-07-01	2001-07-01	titer_substitution_model	0.52	2002-07-01	2001-07-01	0	137641	71488.22
2002-07-01	2001-07-01	titer_substitution_model	1.31	2003-07-01	2002-07-01	0	127624	167667.53
2002-07-01	2001-07-01	titer_substitution_model	2.25	2004-07-01	2003-07-01	0	165837	373411.95
2003-07-01	2002-07-01	titer_substitution_model	1.08	2003-07-01	2002-07-01	0	118336	127681.0
2003-07-01	2002-07-01	titer_substitution_model	1.36	2004-07-01	2003-07-01	0	153768	208780.9
2003-07-01	2002-07-01	titer_substitution_model	2.43	2005-07-01	2004-07-01	0	170968	415872.88
2004-07-01	2003-07-01	titer_substitution_model	0.98	2004-07-01	2003-07-01	0	199809	194918.81
2004-07-01	2003-07-01	titer_substitution_model	1.56	2005-07-01	2004-07-01	0	222159	345560.39
2004-07-01	2003-07-01	titer_substitution_model	2.46	2006-07-01	2005-07-01	0	201150	495070.68
2005-07-01	2004-07-01	titer_substitution_model	0.73	2005-07-01	2004-07-01	0	247009	179645.67
2005-07-01	2004-07-01	titer_substitution_model	1.42	2006-07-01	2005-07-01	0	223650	317812.89
2005-07-01	2004-07-01	titer_substitution_model	2.26	2007-07-01	2006-07-01	0	246512	557390.32
2006-07-01	2005-07-01	titer_substitution_model	0.88	2006-07-01	2005-07-01	0	202500	178623.02
2006-07-01	2005-07-01	titer_substitution_model	1.33	2007-07-01	2006-07-01	0	223200	296806.27
2006-07-01	2005-07-01	titer_substitution_model	1.76	2008-07-01	2007-07-01	0	212400	373196.18
2007-07-01	2006-07-01	titer_substitution_model	0.79	2007-07-01	2006-07-01	0	246016	193703.21
2007-07-01	2006-07-01	titer_substitution_model	0.95	2008-07-01	2007-07-01	0	234112	221747.49
2007-07-01	2006-07-01	titer_substitution_model	1.8	2009-07-01	2008-07-01	0	257920	465048.76
2008-07-01	2007-07-01	titer_substitution_model	0.44	2008-07-01	2007-07-01	0	222784	98833.3
2008-07-01	2007-07-01	titer_substitution_model	1.19	2009-07-01	2008-07-01	0	245440	292658.89
2008-07-01	2007-07-01	titer_substitution_model	3.53	2010-07-01	2009-07-01	0	177472	626852.13
2009-07-01	2008-07-01	titer_substitution_model	1.35	2009-07-01	2008-07-01	0	270400	364904.72
2009-07-01	2008-07-01	titer_substitution_model	2.78	2010-07-01	2009-07-01	0	195520	544339.86
2009-07-01	2008-07-01	titer_substitution_model	3.45	2011-07-01	2010-07-01	0	282360	973917.67
2010-07-01	2009-07-01	titer_substitution_model	0.96	2010-07-01	2009-07-01	0	141376	135311.91
2010-07-01	2009-07-01	titer_substitution_model	1.23	2011-07-01	2010-07-01	0	204168	251687.47
2010-07-01	2009-07-01	titer_substitution_model	1.42	2012-07-01	2011-07-01	0	201912	286477.13
2011-07-01	2010-07-01	titer_substitution_model	0.64	2011-07-01	2010-07-01	0	294849	190044.26
2011-07-01	2010-07-01	titer_substitution_model	0.84	2012-07-01	2011-07-01	0	291591	244399.14
2011-07-01	2010-07-01	titer_substitution_model	1.3	2013-07-01	2012-07-01	0	305709	396867.75
2012-07-01	2011-07-01	titer_substitution_model	0.52	2012-07-01	2011-07-01	0	288369	150631.71
2012-07-01	2011-07-01	titer_substitution_model	0.86	2013-07-01	2012-07-01	0	302331	258572.76
2012-07-01	2011-07-01	titer_substitution_model	1.59	2014-07-01	2013-07-01	0	306627	487913.12
2013-07-01	2012-07-01	titer_substitution_model	0.53	2013-07-01	2012-07-01	0	316969	168753.83
2013-07-01	2012-07-01	titer_substitution_model	1.14	2014-07-01	2013-07-01	0	321473	365796.51
2013-07-01	2012-07-01	titer_substitution_model	2.15	2015-07-01	2014-07-01	0	334422	720636.07
2014-07-01	2013-07-01	titer_substitution_model	0.81	2014-07-01	2013-07-01	0	326041	262950.23
2014-07-01	2013-07-01	titer_substitution_model	1.6	2015-07-01	2014-07-01	0	339174	544153.53
2014-07-01	2013-07-01	titer_substitution_model	1.85	2016-07-01	2015-07-01	0	342029	632007.56
2015-07-01	2014-07-01	titer_substitution_model	0.96	2015-07-01	2014-07-01	0	352836	338523.02
2015-07-01	2014-07-01	titer_substitution_model	1.0	2016-07-01	2015-07-01	0	355806	357019.58
2015-07-01	2014-07-01	titer_substitution_model	1.32	2017-07-01	2016-07-01	0	363528	480308.47
2016-07-01	2015-07-01	titer_substitution_model	0.58	2016-07-01	2015-07-01	0	358801	206953.69
2016-07-01	2015-07-01	titer_substitution_model	0.9	2017-07-01	2016-07-01	0	366588	329066.64
2016-07-01	2015-07-01	titer_substitution_model	1.0	2018-07-01	2017-07-01	0	362994	363059.75
2017-07-01	2016-07-01	titer_substitution_model	0.87	2017-07-01	2016-07-01	0	374544	324770.79
2017-07-01	2016-07-01	titer_substitution_model	0.94	2018-07-01	2017-07-01	0	370872	348993.31
2017-07-01	2016-07-01	titer_substitution_model	1.32	2019-07-01	2018-07-01	0	367812	485895.76
2018-07-01	2017-07-01	titer_substitution_model	1.22	2018-07-01	2017-07-01	0	367236	447066.4
2018-07-01	2017-07-01	titer_substitution_model	1.69	2019-07-01	2018-07-01	0	364206	616416.76
2018-07-01	2017-07-01	titer_substitution_model	1.6	2020-07-01	2019-07-01	0	93324	149047.92
2019-07-01	2018-07-01	titer_substitution_model	1.64	2019-07-01	2018-07-01	0	361201	591312.91
2019-07-01	2018-07-01	titer_substitution_model	1.57	2020-07-01	2019-07-01	0	92554	145571.08
2020-07-01	2019-07-01	titer_substitution_model	1.09	2020-07-01	2019-07-01	0	23716	25785.97
1997-07-01	1996-07-01	titer_substitution_model	1.87	1997-07-01	1996-07-01	1	1936	3624.99
1997-07-01	1996-07-01	titer_substitution_model	1.93	1998-07-01	1997-07-01	1	5632	10887.89
1997-07-01	1996-07-01	titer_substitution_model	1.91	1999-07-01	1998-07-01	1	6952	13307.18
1998-07-01	1997-07-01	titer_substitution_model	1.2	1998-07-01	1997-07-01	1	16384	19630.85
1998-07-01	1997-07-01	titer_substitution_model	0.89	1999-07-01	1998-07-01	1	20224	18099.43
1998-07-01	1997-07-01	titer_substitution_model	1.12	2000-07-01	1999-07-01	1	24320	27333.43
1999-07-01	1998-07-01	titer_substitution_model	0.58	1999-07-01	1998-07-01	1	24964	14400.42
1999-07-01	1998-07-01	titer_substitution_model	0.6	2000-07-01	1999-07-01	1	30020	18145.62
1999-07-01	1998-07-01	titer_substitution_model	0.76	2001-07-01	2000-07-01	1	33496	25498.36
2000-07-01	1999-07-01	titer_substitution_model	0.28	2000-07-01	1999-07-01	1	36100	9946.31
2000-07-01	1999-07-01	titer_substitution_model	0.41	2001-07-01	2000-07-01	1	40280	16341.01
2000-07-01	1999-07-01	titer_substitution_model	0.82	2002-07-01	2001-07-01	1	70490	57756.01
2001-07-01	2000-07-01	titer_substitution_model	0.28	2001-07-01	2000-07-01	1	44944	12461.97
2001-07-01	2000-07-01	titer_substitution_model	0.55	2002-07-01	2001-07-01	1	78652	43063.66
2001-07-01	2000-07-01	titer_substitution_model	1.49	2003-07-01	2002-07-01	1	72292	107504.68
2002-07-01	2001-07-01	titer_substitution_model	0.48	2002-07-01	2001-07-01	1	137641	66253.39
2002-07-01	2001-07-01	titer_substitution_model	1.33	2003-07-01	2002-07-01	1	126511	168496.91
2002-07-01	2001-07-01	titer_substitution_model	2.26	2004-07-01	2003-07-01	1	166950	377844.07
2003-07-01	2002-07-01	titer_substitution_model	1.06	2003-07-01	2002-07-01	1	116281	123148.93
2003-07-01	2002-07-01	titer_substitution_model	1.33	2004-07-01	2003-07-01	1	153450	203371.4
2003-07-01	2002-07-01	titer_substitution_model	2.42	2005-07-01	2004-07-01	1	168795	408460.97
2004-07-01	2003-07-01	titer_substitution_model	0.96	2004-07-01	2003-07-01	1	202500	195085.83
2004-07-01	2003-07-01	titer_substitution_model	1.56	2005-07-01	2004-07-01	1	222750	347018.11
2004-07-01	2003-07-01	titer_substitution_model	2.41	2006-07-01	2005-07-01	1	203400	489840.08
2005-07-01	2004-07-01	titer_substitution_model	0.72	2005-07-01	2004-07-01	1	245025	176849.88
2005-07-01	2004-07-01	titer_substitution_model	1.36	2006-07-01	2005-07-01	1	223740	304842.63
2005-07-01	2004-07-01	titer_substitution_model	2.35	2007-07-01	2006-07-01	1	245520	575767.95
2006-07-01	2005-07-01	titer_substitution_model	0.82	2006-07-01	2005-07-01	1	204304	167053.7
2006-07-01	2005-07-01	titer_substitution_model	1.45	2007-07-01	2006-07-01	1	224192	324784.02
2006-07-01	2005-07-01	titer_substitution_model	1.92	2008-07-01	2007-07-01	1	213796	411501.8
2007-07-01	2006-07-01	titer_substitution_model	0.77	2007-07-01	2006-07-01	1	246016	190655.99
2007-07-01	2006-07-01	titer_substitution_model	0.94	2008-07-01	2007-07-01	1	234608	219766.89
2007-07-01	2006-07-01	titer_substitution_model	1.83	2009-07-01	2008-07-01	1	257424	470988.74
2008-07-01	2007-07-01	titer_substitution_model	0.41	2008-07-01	2007-07-01	1	223729	92264.76
2008-07-01	2007-07-01	titer_substitution_model	1.21	2009-07-01	2008-07-01	1	245487	296557.4
2008-07-01	2007-07-01	titer_substitution_model	3.57	2010-07-01	2009-07-01	1	178794	637523.18
2009-07-01	2008-07-01	titer_substitution_model	1.37	2009-07-01	2008-07-01	1	269361	368004.85
2009-07-01	2008-07-01	titer_substitution_model	2.79	2010-07-01	2009-07-01	1	196182	547860.77
