current_season_start	current_season_end	other_season_start	other_season_end	distance_map	total_distance	total_comparisons	mean_distance
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	7728	1024	7.55
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	21386	2944	7.26
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	38782	3968	9.77
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	40152	8464	4.74
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	92182	11408	8.08
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	113337	10672	10.62
1998-07-01	1999-07-01	1998-07-01	1999-07-01	bhatt	118942	15376	7.74
1998-07-01	1999-07-01	1999-07-01	2000-07-01	bhatt	153471	14384	10.67
1998-07-01	1999-07-01	2000-07-01	2001-07-01	bhatt	166853	14260	11.70
1999-07-01	2000-07-01	1999-07-01	2000-07-01	bhatt	34788	13456	2.59
1999-07-01	2000-07-01	2000-07-01	2001-07-01	bhatt	42191	13340	3.16
1999-07-01	2000-07-01	2001-07-01	2002-07-01	bhatt	200392	26216	7.64
2000-07-01	2001-07-01	2000-07-01	2001-07-01	bhatt	36362	13225	2.75
2000-07-01	2001-07-01	2001-07-01	2002-07-01	bhatt	198528	25990	7.64
2000-07-01	2001-07-01	2002-07-01	2003-07-01	bhatt	188077	22655	8.30
2001-07-01	2002-07-01	2001-07-01	2002-07-01	bhatt	264314	51076	5.17
2001-07-01	2002-07-01	2002-07-01	2003-07-01	bhatt	326143	44522	7.33
2001-07-01	2002-07-01	2003-07-01	2004-07-01	bhatt	630896	80908	7.80
2002-07-01	2003-07-01	2002-07-01	2003-07-01	bhatt	296488	38809	7.64
2002-07-01	2003-07-01	2003-07-01	2004-07-01	bhatt	568268	70526	8.06
2002-07-01	2003-07-01	2004-07-01	2005-07-01	bhatt	833655	83331	10.00
2003-07-01	2004-07-01	2003-07-01	2004-07-01	bhatt	899894	128164	7.02
2003-07-01	2004-07-01	2004-07-01	2005-07-01	bhatt	1519615	151434	10.03
2003-07-01	2004-07-01	2005-07-01	2006-07-01	bhatt	1160367	110264	10.52
2004-07-01	2005-07-01	2004-07-01	2005-07-01	bhatt	447250	178929	2.50
2004-07-01	2005-07-01	2005-07-01	2006-07-01	bhatt	428157	130284	3.29
2004-07-01	2005-07-01	2006-07-01	2007-07-01	bhatt	960326	165816	5.79
2005-07-01	2006-07-01	2005-07-01	2006-07-01	bhatt	345948	94864	3.65
2005-07-01	2006-07-01	2006-07-01	2007-07-01	bhatt	759590	120736	6.29
2005-07-01	2006-07-01	2007-07-01	2008-07-01	bhatt	1057932	141680	7.47
2006-07-01	2007-07-01	2006-07-01	2007-07-01	bhatt	817318	153664	5.32
2006-07-01	2007-07-01	2007-07-01	2008-07-01	bhatt	1001129	180320	5.55
2006-07-01	2007-07-01	2008-07-01	2009-07-01	bhatt	1252961	200704	6.24
2007-07-01	2008-07-01	2007-07-01	2008-07-01	bhatt	993668	211600	4.70
2007-07-01	2008-07-01	2008-07-01	2009-07-01	bhatt	1041589	235520	4.42
2007-07-01	2008-07-01	2009-07-01	2010-07-01	bhatt	1025264	179860	5.70
2008-07-01	2009-07-01	2008-07-01	2009-07-01	bhatt	680578	262144	2.60
2008-07-01	2009-07-01	2009-07-01	2010-07-01	bhatt	730230	200192	3.65
2008-07-01	2009-07-01	2010-07-01	2011-07-01	bhatt	1670566	303616	5.50
2009-07-01	2010-07-01	2009-07-01	2010-07-01	bhatt	562724	152881	3.68
2009-07-01	2010-07-01	2010-07-01	2011-07-01	bhatt	1070380	231863	4.62
2009-07-01	2010-07-01	2011-07-01	2012-07-01	bhatt	1320822	234600	5.63
2010-07-01	2011-07-01	2010-07-01	2011-07-01	bhatt	1473708	351649	4.19
2010-07-01	2011-07-01	2011-07-01	2012-07-01	bhatt	1668917	355800	4.69
2010-07-01	2011-07-01	2012-07-01	2013-07-01	bhatt	1938341	356986	5.43
2011-07-01	2012-07-01	2011-07-01	2012-07-01	bhatt	1218608	360000	3.39
2011-07-01	2012-07-01	2012-07-01	2013-07-01	bhatt	1198864	361200	3.32
2011-07-01	2012-07-01	2013-07-01	2014-07-01	bhatt	1738495	360600	4.82
2012-07-01	2013-07-01	2012-07-01	2013-07-01	bhatt	920296	362404	2.54
2012-07-01	2013-07-01	2013-07-01	2014-07-01	bhatt	1359646	361802	3.76
2012-07-01	2013-07-01	2014-07-01	2015-07-01	bhatt	1839564	356986	5.15
2013-07-01	2014-07-01	2013-07-01	2014-07-01	bhatt	1521456	361201	4.21
2013-07-01	2014-07-01	2014-07-01	2015-07-01	bhatt	1959479	356393	5.50
2013-07-01	2014-07-01	2015-07-01	2016-07-01	bhatt	2696758	357595	7.54
2014-07-01	2015-07-01	2014-07-01	2015-07-01	bhatt	1871318	351649	5.32
2014-07-01	2015-07-01	2015-07-01	2016-07-01	bhatt	2240627	352835	6.35
2014-07-01	2015-07-01	2016-07-01	2017-07-01	bhatt	2863445	360544	7.94
2015-07-01	2016-07-01	2015-07-01	2016-07-01	bhatt	1839570	354025	5.20
2015-07-01	2016-07-01	2016-07-01	2017-07-01	bhatt	2054337	361760	5.68
2015-07-01	2016-07-01	2017-07-01	2018-07-01	bhatt	2500601	359380	6.96
2016-07-01	2017-07-01	2016-07-01	2017-07-01	bhatt	1849844	369664	5.00
2016-07-01	2017-07-01	2017-07-01	2018-07-01	bhatt	2075631	367232	5.65
2016-07-01	2017-07-01	2018-07-01	2019-07-01	bhatt	2643472	364192	7.26
2017-07-01	2018-07-01	2017-07-01	2018-07-01	bhatt	1729252	364816	4.74
2017-07-01	2018-07-01	2018-07-01	2019-07-01	bhatt	2116296	361796	5.85
2017-07-01	2018-07-01	2019-07-01	2020-07-01	bhatt	573515	88788	6.46
2018-07-01	2019-07-01	2018-07-01	2019-07-01	bhatt	2215126	358801	6.17
2018-07-01	2019-07-01	2019-07-01	2020-07-01	bhatt	539332	88053	6.13
2019-07-01	2020-07-01	2019-07-01	2020-07-01	bhatt	109456	21609	5.07
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt_nonepitope	1440	1024	1.41
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt_nonepitope	3293	2944	1.12
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	3776	3968	0.95
