current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance
1997-07-01	1996-07-01	titer_tree_model	1.84	1997-07-01	1996-07-01	0	1936	3563.36
1997-07-01	1996-07-01	titer_tree_model	2.21	1998-07-01	1997-07-01	0	5632	12436.44
1997-07-01	1996-07-01	titer_tree_model	2.39	1999-07-01	1998-07-01	0	6952	16600.41
1998-07-01	1997-07-01	titer_tree_model	0.99	1998-07-01	1997-07-01	0	16384	16259.08
1998-07-01	1997-07-01	titer_tree_model	0.91	1999-07-01	1998-07-01	0	20224	18352.65
1998-07-01	1997-07-01	titer_tree_model	1.08	2000-07-01	1999-07-01	0	24320	26194.37
1999-07-01	1998-07-01	titer_tree_model	0.48	1999-07-01	1998-07-01	0	24964	12042.0
1999-07-01	1998-07-01	titer_tree_model	0.45	2000-07-01	1999-07-01	0	30020	13610.76
1999-07-01	1998-07-01	titer_tree_model	0.59	2001-07-01	2000-07-01	0	33496	19736.61
2000-07-01	1999-07-01	titer_tree_model	0.13	2000-07-01	1999-07-01	0	36100	4806.06
2000-07-01	1999-07-01	titer_tree_model	0.25	2001-07-01	2000-07-01	0	40280	10243.58
2000-07-01	1999-07-01	titer_tree_model	0.38	2002-07-01	2001-07-01	0	70490	27039.13
2001-07-01	2000-07-01	titer_tree_model	0.26	2001-07-01	2000-07-01	0	44944	11523.13
2001-07-01	2000-07-01	titer_tree_model	0.4	2002-07-01	2001-07-01	0	78652	31259.26
2001-07-01	2000-07-01	titer_tree_model	1.5	2003-07-01	2002-07-01	0	72928	109477.65
2002-07-01	2001-07-01	titer_tree_model	0.34	2002-07-01	2001-07-01	0	137641	46296.05
2002-07-01	2001-07-01	titer_tree_model	1.51	2003-07-01	2002-07-01	0	127624	192828.24
2002-07-01	2001-07-01	titer_tree_model	2.41	2004-07-01	2003-07-01	0	165837	400067.01
2003-07-01	2002-07-01	titer_tree_model	1.01	2003-07-01	2002-07-01	0	118336	119477.18
2003-07-01	2002-07-01	titer_tree_model	1.18	2004-07-01	2003-07-01	0	153768	181713.38
2003-07-01	2002-07-01	titer_tree_model	1.88	2005-07-01	2004-07-01	0	170968	320927.71
2004-07-01	2003-07-01	titer_tree_model	0.76	2004-07-01	2003-07-01	0	199809	151129.2
2004-07-01	2003-07-01	titer_tree_model	1.16	2005-07-01	2004-07-01	0	222159	257348.89
2004-07-01	2003-07-01	titer_tree_model	2.05	2006-07-01	2005-07-01	0	201150	411898.96
2005-07-01	2004-07-01	titer_tree_model	0.64	2005-07-01	2004-07-01	0	247009	157012.06
2005-07-01	2004-07-01	titer_tree_model	1.26	2006-07-01	2005-07-01	0	223650	281122.3
2005-07-01	2004-07-01	titer_tree_model	1.68	2007-07-01	2006-07-01	0	246512	414963.69
2006-07-01	2005-07-01	titer_tree_model	0.79	2006-07-01	2005-07-01	0	202500	159171.03
2006-07-01	2005-07-01	titer_tree_model	0.9	2007-07-01	2006-07-01	0	223200	201831.53
2006-07-01	2005-07-01	titer_tree_model	1.09	2008-07-01	2007-07-01	0	212400	231275.98
2007-07-01	2006-07-01	titer_tree_model	0.71	2007-07-01	2006-07-01	0	246016	174821.28
2007-07-01	2006-07-01	titer_tree_model	0.79	2008-07-01	2007-07-01	0	234112	185369.43
2007-07-01	2006-07-01	titer_tree_model	1.93	2009-07-01	2008-07-01	0	257920	497191.23
2008-07-01	2007-07-01	titer_tree_model	0.66	2008-07-01	2007-07-01	0	222784	147198.5
2008-07-01	2007-07-01	titer_tree_model	1.56	2009-07-01	2008-07-01	0	245440	383291.6
2008-07-01	2007-07-01	titer_tree_model	2.36	2010-07-01	2009-07-01	0	177472	419301.7
2009-07-01	2008-07-01	titer_tree_model	1.51	2009-07-01	2008-07-01	0	270400	408609.56
2009-07-01	2008-07-01	titer_tree_model	1.54	2010-07-01	2009-07-01	0	195520	300968.83
