current_season_start	current_season_end	other_season_start	other_season_end	distance_map	total_distance	total_comparisons	mean_distance
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt	5022	784	6.41
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt	16930	2576	6.57
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt	31442	3472	9.06
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt	40152	8464	4.74
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt	92182	11408	8.08
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt	113337	10672	10.62
1998-07-01	1999-07-01	1998-07-01	1999-07-01	bhatt	118942	15376	7.74
1998-07-01	1999-07-01	1999-07-01	2000-07-01	bhatt	153471	14384	10.67
1998-07-01	1999-07-01	2000-07-01	2001-07-01	bhatt	166853	14260	11.70
1999-07-01	2000-07-01	1999-07-01	2000-07-01	bhatt	34788	13456	2.59
1999-07-01	2000-07-01	2000-07-01	2001-07-01	bhatt	42191	13340	3.16
1999-07-01	2000-07-01	2001-07-01	2002-07-01	bhatt	200392	26216	7.64
2000-07-01	2001-07-01	2000-07-01	2001-07-01	bhatt	36362	13225	2.75
2000-07-01	2001-07-01	2001-07-01	2002-07-01	bhatt	198528	25990	7.64
2000-07-01	2001-07-01	2002-07-01	2003-07-01	bhatt	183509	22195	8.27
2001-07-01	2002-07-01	2001-07-01	2002-07-01	bhatt	264314	51076	5.17
2001-07-01	2002-07-01	2002-07-01	2003-07-01	bhatt	320565	43618	7.35
2001-07-01	2002-07-01	2003-07-01	2004-07-01	bhatt	594234	75032	7.92
2002-07-01	2003-07-01	2002-07-01	2003-07-01	bhatt	284328	37249	7.63
2002-07-01	2003-07-01	2003-07-01	2004-07-01	bhatt	520930	64076	8.13
2002-07-01	2003-07-01	2004-07-01	2005-07-01	bhatt	771552	77779	9.92
2003-07-01	2004-07-01	2003-07-01	2004-07-01	bhatt	795682	110224	7.22
2003-07-01	2004-07-01	2004-07-01	2005-07-01	bhatt	1312414	133796	9.81
