current_season_start	current_season_end	other_season_start	other_season_end	distance_map	total_distance	total_comparisons	mean_distance
2003-07-01	2004-07-01	2005-07-01	2006-07-01	bhatt	982186	94620	10.38
2004-07-01	2005-07-01	2004-07-01	2005-07-01	bhatt	413636	162409	2.55
2004-07-01	2005-07-01	2005-07-01	2006-07-01	bhatt	387080	114855	3.37
2004-07-01	2005-07-01	2006-07-01	2007-07-01	bhatt	911717	157573	5.79
2005-07-01	2006-07-01	2005-07-01	2006-07-01	bhatt	304690	81225	3.75
2005-07-01	2006-07-01	2006-07-01	2007-07-01	bhatt	705295	111435	6.33
2005-07-01	2006-07-01	2007-07-01	2008-07-01	bhatt	886576	117705	7.53
2006-07-01	2007-07-01	2006-07-01	2007-07-01	bhatt	787508	152881	5.15
2006-07-01	2007-07-01	2007-07-01	2008-07-01	bhatt	861791	161483	5.34
2006-07-01	2007-07-01	2008-07-01	2009-07-01	bhatt	1142376	183770	6.22
2007-07-01	2008-07-01	2007-07-01	2008-07-01	bhatt	760140	170569	4.46
2007-07-01	2008-07-01	2008-07-01	2009-07-01	bhatt	858350	194110	4.42
2007-07-01	2008-07-01	2009-07-01	2010-07-01	bhatt	790798	137529	5.75
2008-07-01	2009-07-01	2008-07-01	2009-07-01	bhatt	611498	220900	2.77
2008-07-01	2009-07-01	2009-07-01	2010-07-01	bhatt	604463	156510	3.86
2008-07-01	2009-07-01	2010-07-01	2011-07-01	bhatt	1382919	262730	5.26
2009-07-01	2010-07-01	2009-07-01	2010-07-01	bhatt	409702	110889	3.69
2009-07-01	2010-07-01	2010-07-01	2011-07-01	bhatt	780286	186147	4.19
2009-07-01	2010-07-01	2011-07-01	2012-07-01	bhatt	936764	177156	5.29
2010-07-01	2011-07-01	2010-07-01	2011-07-01	bhatt	1116458	312481	3.57
2010-07-01	2011-07-01	2011-07-01	2012-07-01	bhatt	1266812	297388	4.26
2010-07-01	2011-07-01	2012-07-01	2013-07-01	bhatt	1625623	318630	5.10
2011-07-01	2012-07-01	2011-07-01	2012-07-01	bhatt	902816	283024	3.19
2011-07-01	2012-07-01	2012-07-01	2013-07-01	bhatt	976869	303240	3.22
2011-07-01	2012-07-01	2013-07-01	2014-07-01	bhatt	1411025	292600	4.82
2012-07-01	2013-07-01	2012-07-01	2013-07-01	bhatt	797460	324900	2.45
2012-07-01	2013-07-01	2013-07-01	2014-07-01	bhatt	1176730	313500	3.75
2012-07-01	2013-07-01	2014-07-01	2015-07-01	bhatt	1628119	325470	5.00
2013-07-01	2014-07-01	2013-07-01	2014-07-01	bhatt	1262570	302500	4.17
2013-07-01	2014-07-01	2014-07-01	2015-07-01	bhatt	1698792	314050	5.41
2013-07-01	2014-07-01	2015-07-01	2016-07-01	bhatt	2471824	328350	7.53
2014-07-01	2015-07-01	2014-07-01	2015-07-01	bhatt	1519820	326041	4.66
2014-07-01	2015-07-01	2015-07-01	2016-07-01	bhatt	2003186	340887	5.88
2014-07-01	2015-07-01	2016-07-01	2017-07-01	bhatt	2550322	351165	7.26
2015-07-01	2016-07-01	2015-07-01	2016-07-01	bhatt	1942656	356409	5.45
2015-07-01	2016-07-01	2016-07-01	2017-07-01	bhatt	2212968	367155	6.03
2015-07-01	2016-07-01	2017-07-01	2018-07-01	bhatt	2605565	357603	7.29
2016-07-01	2017-07-01	2016-07-01	2017-07-01	bhatt	2016642	378225	5.33
2016-07-01	2017-07-01	2017-07-01	2018-07-01	bhatt	2128240	368385	5.78
2016-07-01	2017-07-01	2018-07-01	2019-07-01	bhatt	2847144	370845	7.68
2017-07-01	2018-07-01	2017-07-01	2018-07-01	bhatt	1629820	358801	4.54
2017-07-01	2018-07-01	2018-07-01	2019-07-01	bhatt	2208274	361197	6.11
2017-07-01	2018-07-01	2019-07-01	2020-07-01	bhatt	591751	90449	6.54
2018-07-01	2019-07-01	2018-07-01	2019-07-01	bhatt	2409374	363609	6.63
2018-07-01	2019-07-01	2019-07-01	2020-07-01	bhatt	598414	91053	6.57
2019-07-01	2020-07-01	2019-07-01	2020-07-01	bhatt	101156	22801	4.44
1996-07-01	1997-07-01	1996-07-01	1997-07-01	bhatt_nonepitope	896	784	1.14
1996-07-01	1997-07-01	1997-07-01	1998-07-01	bhatt_nonepitope	2453	2576	0.95
1996-07-01	1997-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	2700	3472	0.78
1997-07-01	1998-07-01	1997-07-01	1998-07-01	bhatt_nonepitope	5726	8464	0.68
1997-07-01	1998-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	5772	11408	0.51
1997-07-01	1998-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	6446	10672	0.60
1998-07-01	1999-07-01	1998-07-01	1999-07-01	bhatt_nonepitope	4894	15376	0.32
1998-07-01	1999-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	6064	14384	0.42
1998-07-01	1999-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	11392	14260	0.80
1999-07-01	2000-07-01	1999-07-01	2000-07-01	bhatt_nonepitope	6928	13456	0.51
1999-07-01	2000-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	11612	13340	0.87
1999-07-01	2000-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	41880	26216	1.60
2000-07-01	2001-07-01	2000-07-01	2001-07-01	bhatt_nonepitope	14326	13225	1.08
2000-07-01	2001-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	48428	25990	1.86
2000-07-01	2001-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	51756	22195	2.33
2001-07-01	2002-07-01	2001-07-01	2002-07-01	bhatt_nonepitope	69714	51076	1.36
2001-07-01	2002-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	96350	43618	2.21
2001-07-01	2002-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	148951	75032	1.99
2002-07-01	2003-07-01	2002-07-01	2003-07-01	bhatt_nonepitope	91574	37249	2.46
2002-07-01	2003-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	154814	64076	2.42
2002-07-01	2003-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	229325	77779	2.95
2003-07-01	2004-07-01	2003-07-01	2004-07-01	bhatt_nonepitope	251804	110224	2.28
2003-07-01	2004-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	437723	133796	3.27
2003-07-01	2004-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	319876	94620	3.38
2004-07-01	2005-07-01	2004-07-01	2005-07-01	bhatt_nonepitope	144584	162409	0.89
2004-07-01	2005-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	104145	114855	0.91
2004-07-01	2005-07-01	2006-07-01	2007-07-01	bhatt_nonepitope	347069	157573	2.20
2005-07-01	2006-07-01	2005-07-01	2006-07-01	bhatt_nonepitope	71622	81225	0.88
2005-07-01	2006-07-01	2006-07-01	2007-07-01	bhatt_nonepitope	229913	111435	2.06
2005-07-01	2006-07-01	2007-07-01	2008-07-01	bhatt_nonepitope	281686	117705	2.39
2006-07-01	2007-07-01	2006-07-01	2007-07-01	bhatt_nonepitope	317730	152881	2.08
2006-07-01	2007-07-01	2007-07-01	2008-07-01	bhatt_nonepitope	309061	161483	1.91
2006-07-01	2007-07-01	2008-07-01	2009-07-01	bhatt_nonepitope	306848	183770	1.67
2007-07-01	2008-07-01	2007-07-01	2008-07-01	bhatt_nonepitope	255208	170569	1.50
2007-07-01	2008-07-01	2008-07-01	2009-07-01	bhatt_nonepitope	217109	194110	1.12
2007-07-01	2008-07-01	2009-07-01	2010-07-01	bhatt_nonepitope	155602	137529	1.13
2008-07-01	2009-07-01	2008-07-01	2009-07-01	bhatt_nonepitope	133208	220900	0.60
2008-07-01	2009-07-01	2009-07-01	2010-07-01	bhatt_nonepitope	101216	156510	0.65
2008-07-01	2009-07-01	2010-07-01	2011-07-01	bhatt_nonepitope	133379	262730	0.51
2009-07-01	2010-07-01	2009-07-01	2010-07-01	bhatt_nonepitope	73042	110889	0.66
2009-07-01	2010-07-01	2010-07-01	2011-07-01	bhatt_nonepitope	101796	186147	0.55
2009-07-01	2010-07-01	2011-07-01	2012-07-01	bhatt_nonepitope	113482	177156	0.64
2010-07-01	2011-07-01	2010-07-01	2011-07-01	bhatt_nonepitope	123660	312481	0.40
2010-07-01	2011-07-01	2011-07-01	2012-07-01	bhatt_nonepitope	147094	297388	0.49
2010-07-01	2011-07-01	2012-07-01	2013-07-01	bhatt_nonepitope	145657	318630	0.46
2011-07-01	2012-07-01	2011-07-01	2012-07-01	bhatt_nonepitope	166582	283024	0.59
2011-07-01	2012-07-01	2012-07-01	2013-07-01	bhatt_nonepitope	167865	303240	0.55
2011-07-01	2012-07-01	2013-07-01	2014-07-01	bhatt_nonepitope	269045	292600	0.92
2012-07-01	2013-07-01	2012-07-01	2013-07-01	bhatt_nonepitope	167234	324900	0.51
2012-07-01	2013-07-01	2013-07-01	2014-07-01	bhatt_nonepitope	272662	313500	0.87
2012-07-01	2013-07-01	2014-07-01	2015-07-01	bhatt_nonepitope	186238	325470	0.57
2013-07-01	2014-07-01	2013-07-01	2014-07-01	bhatt_nonepitope	308598	302500	1.02
2013-07-01	2014-07-01	2014-07-01	2015-07-01	bhatt_nonepitope	276036	314050	0.88
2013-07-01	2014-07-01	2015-07-01	2016-07-01	bhatt_nonepitope	359040	328350	1.09
2014-07-01	2015-07-01	2014-07-01	2015-07-01	bhatt_nonepitope	199852	326041	0.61
2014-07-01	2015-07-01	2015-07-01	2016-07-01	bhatt_nonepitope	267499	340887	0.78
2014-07-01	2015-07-01	2016-07-01	2017-07-01	bhatt_nonepitope	312532	351165	0.89
2015-07-01	2016-07-01	2015-07-01	2016-07-01	bhatt_nonepitope	310866	356409	0.87
2015-07-01	2016-07-01	2016-07-01	2017-07-01	bhatt_nonepitope	373704	367155	1.02
2015-07-01	2016-07-01	2017-07-01	2018-07-01	bhatt_nonepitope	559537	357603	1.56
2016-07-01	2017-07-01	2016-07-01	2017-07-01	bhatt_nonepitope	402890	378225	1.07
2016-07-01	2017-07-01	2017-07-01	2018-07-01	bhatt_nonepitope	557892	368385	1.51
2016-07-01	2017-07-01	2018-07-01	2019-07-01	bhatt_nonepitope	675155	370845	1.82
2017-07-01	2018-07-01	2017-07-01	2018-07-01	bhatt_nonepitope	548606	358801	1.53
2017-07-01	2018-07-01	2018-07-01	2019-07-01	bhatt_nonepitope	702159	361197	1.94
2017-07-01	2018-07-01	2019-07-01	2020-07-01	bhatt_nonepitope	160120	90449	1.77
2018-07-01	2019-07-01	2018-07-01	2019-07-01	bhatt_nonepitope	694186	363609	1.91
2018-07-01	2019-07-01	2019-07-01	2020-07-01	bhatt_nonepitope	150011	91053	1.65
2019-07-01	2020-07-01	2019-07-01	2020-07-01	bhatt_nonepitope	21588	22801	0.95
