current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance
1997-07-01	1996-07-01	titer_substitution_model	1.96	1997-07-01	1996-07-01	0	1936	3793.04
1997-07-01	1996-07-01	titer_substitution_model	1.93	1998-07-01	1997-07-01	0	5632	10860.53
1997-07-01	1996-07-01	titer_substitution_model	1.92	1999-07-01	1998-07-01	0	6952	13333.29
1998-07-01	1997-07-01	titer_substitution_model	1.23	1998-07-01	1997-07-01	0	16384	20173.89
1998-07-01	1997-07-01	titer_substitution_model	0.94	1999-07-01	1998-07-01	0	20224	19101.48
1998-07-01	1997-07-01	titer_substitution_model	1.22	2000-07-01	1999-07-01	0	24320	29697.48
1999-07-01	1998-07-01	titer_substitution_model	0.59	1999-07-01	1998-07-01	0	24964	14775.5
1999-07-01	1998-07-01	titer_substitution_model	0.74	2000-07-01	1999-07-01	0	30020	22327.19
1999-07-01	1998-07-01	titer_substitution_model	0.8	2001-07-01	2000-07-01	0	33496	26763.13
2000-07-01	1999-07-01	titer_substitution_model	0.31	2000-07-01	1999-07-01	0	36100	11329.7
2000-07-01	1999-07-01	titer_substitution_model	0.36	2001-07-01	2000-07-01	0	40280	14544.05
2000-07-01	1999-07-01	titer_substitution_model	0.85	2002-07-01	2001-07-01	0	72770	62096.73
2001-07-01	2000-07-01	titer_substitution_model	0.28	2001-07-01	2000-07-01	0	44944	12699.2
2001-07-01	2000-07-01	titer_substitution_model	0.59	2002-07-01	2001-07-01	0	81196	48096.7
2001-07-01	2000-07-01	titer_substitution_model	1.41	2003-07-01	2002-07-01	0	95400	134453.07
2002-07-01	2001-07-01	titer_substitution_model	0.51	2002-07-01	2001-07-01	0	146689	74756.44
2002-07-01	2001-07-01	titer_substitution_model	1.25	2003-07-01	2002-07-01	0	172350	214678.97
2002-07-01	2001-07-01	titer_substitution_model	2.32	2004-07-01	2003-07-01	0	211033	490618.32
2003-07-01	2002-07-01	titer_substitution_model	1.12	2003-07-01	2002-07-01	0	202500	227000.42
2003-07-01	2002-07-01	titer_substitution_model	1.49	2004-07-01	2003-07-01	0	247950	369204.82
2003-07-01	2002-07-01	titer_substitution_model	2.55	2005-07-01	2004-07-01	0	271800	693804.34
2004-07-01	2003-07-01	titer_substitution_model	0.99	2004-07-01	2003-07-01	0	303601	299149.62
2004-07-01	2003-07-01	titer_substitution_model	1.55	2005-07-01	2004-07-01	0	332804	517245.13
2004-07-01	2003-07-01	titer_substitution_model	2.3	2006-07-01	2005-07-01	0	274398	629913.22
2005-07-01	2004-07-01	titer_substitution_model	0.76	2005-07-01	2004-07-01	0	364816	277748.49
2005-07-01	2004-07-01	titer_substitution_model	1.25	2006-07-01	2005-07-01	0	300792	376309.77
2005-07-01	2004-07-01	titer_substitution_model	2.14	2007-07-01	2006-07-01	0	334012	713183.6
2006-07-01	2005-07-01	titer_substitution_model	0.85	2006-07-01	2005-07-01	0	248004	211330.75
2006-07-01	2005-07-01	titer_substitution_model	1.37	2007-07-01	2006-07-01	0	275394	378415.67
2006-07-01	2005-07-01	titer_substitution_model	1.88	2008-07-01	2007-07-01	0	288342	540866.8
2007-07-01	2006-07-01	titer_substitution_model	0.81	2007-07-01	2006-07-01	0	305809	246953.45
2007-07-01	2006-07-01	titer_substitution_model	1.03	2008-07-01	2007-07-01	0	320187	329907.99
2007-07-01	2006-07-01	titer_substitution_model	1.87	2009-07-01	2008-07-01	0	324058	605459.6
2008-07-01	2007-07-01	titer_substitution_model	0.53	2008-07-01	2007-07-01	0	335241	177647.29
2008-07-01	2007-07-01	titer_substitution_model	1.24	2009-07-01	2008-07-01	0	339294	421681.25
2008-07-01	2007-07-01	titer_substitution_model	3.46	2010-07-01	2009-07-01	0	273288	944715.37
2009-07-01	2008-07-01	titer_substitution_model	1.39	2009-07-01	2008-07-01	0	343396	478965.11
2009-07-01	2008-07-01	titer_substitution_model	2.73	2010-07-01	2009-07-01	0	276592	756295.04
2009-07-01	2008-07-01	titer_substitution_model	3.32	2011-07-01	2010-07-01	0	349842	1161792.39
2010-07-01	2009-07-01	titer_substitution_model	0.98	2010-07-01	2009-07-01	0	222784	217386.15
2010-07-01	2009-07-01	titer_substitution_model	1.23	2011-07-01	2010-07-01	0	281784	346566.83
2010-07-01	2009-07-01	titer_substitution_model	1.44	2012-07-01	2011-07-01	0	283200	407137.98
2011-07-01	2010-07-01	titer_substitution_model	0.71	2011-07-01	2010-07-01	0	356409	253333.19
2011-07-01	2010-07-01	titer_substitution_model	0.87	2012-07-01	2011-07-01	0	358200	313275.88
2011-07-01	2010-07-01	titer_substitution_model	1.33	2013-07-01	2012-07-01	0	359394	479624.79
2012-07-01	2011-07-01	titer_substitution_model	0.53	2012-07-01	2011-07-01	0	360000	191147.2
2012-07-01	2011-07-01	titer_substitution_model	0.86	2013-07-01	2012-07-01	0	361200	309310.78
2012-07-01	2011-07-01	titer_substitution_model	1.44	2014-07-01	2013-07-01	0	362400	522151.12
2013-07-01	2012-07-01	titer_substitution_model	0.49	2013-07-01	2012-07-01	0	362404	176675.14
2013-07-01	2012-07-01	titer_substitution_model	0.96	2014-07-01	2013-07-01	0	363608	348634.12
2013-07-01	2012-07-01	titer_substitution_model	2.1	2015-07-01	2014-07-01	0	365414	767540.43
2014-07-01	2013-07-01	titer_substitution_model	0.76	2014-07-01	2013-07-01	0	364816	276305.48
2014-07-01	2013-07-01	titer_substitution_model	1.73	2015-07-01	2014-07-01	0	366628	634447.28
2014-07-01	2013-07-01	titer_substitution_model	2.12	2016-07-01	2015-07-01	0	359984	763739.0
2015-07-01	2014-07-01	titer_substitution_model	1.02	2015-07-01	2014-07-01	0	368449	375528.07
2015-07-01	2014-07-01	titer_substitution_model	1.17	2016-07-01	2015-07-01	0	361772	423993.12
2015-07-01	2014-07-01	titer_substitution_model	1.44	2017-07-01	2016-07-01	0	367235	529180.73
2016-07-01	2015-07-01	titer_substitution_model	0.63	2016-07-01	2015-07-01	0	355216	222879.94
2016-07-01	2015-07-01	titer_substitution_model	0.89	2017-07-01	2016-07-01	0	360580	320097.3
2016-07-01	2015-07-01	titer_substitution_model	1.06	2018-07-01	2017-07-01	0	359984	380127.09
2017-07-01	2016-07-01	titer_substitution_model	0.88	2017-07-01	2016-07-01	0	366025	320958.01
2017-07-01	2016-07-01	titer_substitution_model	1.02	2018-07-01	2017-07-01	0	365420	371629.38
2017-07-01	2016-07-01	titer_substitution_model	1.27	2019-07-01	2018-07-01	0	361790	460709.24
2018-07-01	2017-07-01	titer_substitution_model	1.23	2018-07-01	2017-07-01	0	364816	447379.8
2018-07-01	2017-07-01	titer_substitution_model	1.47	2019-07-01	2018-07-01	0	361192	530060.29
2018-07-01	2017-07-01	titer_substitution_model	1.6	2020-07-01	2019-07-01	0	89392	142710.79
2019-07-01	2018-07-01	titer_substitution_model	1.48	2019-07-01	2018-07-01	0	357604	529792.53
2019-07-01	2018-07-01	titer_substitution_model	1.47	2020-07-01	2019-07-01	0	88504	130378.73
2020-07-01	2019-07-01	titer_substitution_model	1.34	2020-07-01	2019-07-01	0	21904	29252.34
1997-07-01	1996-07-01	titer_substitution_model	1.96	1997-07-01	1996-07-01	1	1936	3798.42
1997-07-01	1996-07-01	titer_substitution_model	1.96	1998-07-01	1997-07-01	1	5632	11043.89
1997-07-01	1996-07-01	titer_substitution_model	1.96	1999-07-01	1998-07-01	1	6952	13611.58
1998-07-01	1997-07-01	titer_substitution_model	1.23	1998-07-01	1997-07-01	1	16384	20120.11
1998-07-01	1997-07-01	titer_substitution_model	0.95	1999-07-01	1998-07-01	1	20224	19129.17
1998-07-01	1997-07-01	titer_substitution_model	1.19	2000-07-01	1999-07-01	1	24320	29018.85
1999-07-01	1998-07-01	titer_substitution_model	0.61	1999-07-01	1998-07-01	1	24964	15329.49
1999-07-01	1998-07-01	titer_substitution_model	0.74	2000-07-01	1999-07-01	1	30020	22108.77
1999-07-01	1998-07-01	titer_substitution_model	0.77	2001-07-01	2000-07-01	1	33496	25725.15
2000-07-01	1999-07-01	titer_substitution_model	0.31	2000-07-01	1999-07-01	1	36100	11338.27
2000-07-01	1999-07-01	titer_substitution_model	0.34	2001-07-01	2000-07-01	1	40280	13828.43
2000-07-01	1999-07-01	titer_substitution_model	0.82	2002-07-01	2001-07-01	1	72580	59210.48
2001-07-01	2000-07-01	titer_substitution_model	0.28	2001-07-01	2000-07-01	1	44944	12454.7
2001-07-01	2000-07-01	titer_substitution_model	0.58	2002-07-01	2001-07-01	1	80984	46739.04
2001-07-01	2000-07-01	titer_substitution_model	1.44	2003-07-01	2002-07-01	1	95824	137522.3
2002-07-01	2001-07-01	titer_substitution_model	0.49	2002-07-01	2001-07-01	1	145924	71514.97
2002-07-01	2001-07-01	titer_substitution_model	1.28	2003-07-01	2002-07-01	1	172664	221003.52
2002-07-01	2001-07-01	titer_substitution_model	2.35	2004-07-01	2003-07-01	1	210100	494304.76
2003-07-01	2002-07-01	titer_substitution_model	1.11	2003-07-01	2002-07-01	1	204304	227060.52
2003-07-01	2002-07-01	titer_substitution_model	1.47	2004-07-01	2003-07-01	1	248600	365770.2
2003-07-01	2002-07-01	titer_substitution_model	2.59	2005-07-01	2004-07-01	1	271652	703654.63
2004-07-01	2003-07-01	titer_substitution_model	0.99	2004-07-01	2003-07-01	1	302500	299807.65
2004-07-01	2003-07-01	titer_substitution_model	1.6	2005-07-01	2004-07-01	1	330550	529359.19
2004-07-01	2003-07-01	titer_substitution_model	2.36	2006-07-01	2005-07-01	1	275000	649539.49
2005-07-01	2004-07-01	titer_substitution_model	0.76	2005-07-01	2004-07-01	1	361201	275050.78
