season_start	season_end	mean	std	count
1996-07-01	1997-07-01	1.0055	0.4915	28
1997-07-01	1998-07-01	1.2333	0.6238	92
1998-07-01	1999-07-01	1.3265	0.8928	124
1999-07-01	2000-07-01	1.2096	0.8396	116
2000-07-01	2001-07-01	1.0287	0.4248	115
2001-07-01	2002-07-01	1.8492	1.4939	226
2002-07-01	2003-07-01	1.4630	0.7239	193
2003-07-01	2004-07-01	1.6096	1.0889	332
2004-07-01	2005-07-01	2.2690	1.6025	403
2005-07-01	2006-07-01	1.0993	0.5730	285
2006-07-01	2007-07-01	2.7150	2.5476	391
2007-07-01	2008-07-01	1.1447	0.6067	413
2008-07-01	2009-07-01	1.6003	1.2219	470
2009-07-01	2010-07-01	1.1728	0.6355	333
2010-07-01	2011-07-01	2.6957	2.5505	559
2011-07-01	2012-07-01	1.9577	1.5343	532
2012-07-01	2013-07-01	2.0524	1.5711	570
2013-07-01	2014-07-01	1.7860	1.4507	550
2014-07-01	2015-07-01	1.9643	1.5195	571
2015-07-01	2016-07-01	1.8596	1.6739	597
2016-07-01	2017-07-01	1.5635	0.9382	615
2017-07-01	2018-07-01	2.4412	2.0938	599
2018-07-01	2019-07-01	1.7127	1.3743	603
2019-07-01	2020-07-01	1.0096	0.5809	151
