current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance
1997-07-01	1996-07-01	titer_tree_model	1.89	1997-07-01	1996-07-01	0	1936	3663.85
1997-07-01	1996-07-01	titer_tree_model	2.09	1998-07-01	1997-07-01	0	5632	11794.38
1997-07-01	1996-07-01	titer_tree_model	2.19	1999-07-01	1998-07-01	0	6952	15257.07
1998-07-01	1997-07-01	titer_tree_model	1.0	1998-07-01	1997-07-01	0	16384	16330.62
1998-07-01	1997-07-01	titer_tree_model	0.88	1999-07-01	1998-07-01	0	20224	17725.32
1998-07-01	1997-07-01	titer_tree_model	1.07	2000-07-01	1999-07-01	0	24320	26097.87
1999-07-01	1998-07-01	titer_tree_model	0.45	1999-07-01	1998-07-01	0	24964	11153.93
1999-07-01	1998-07-01	titer_tree_model	0.43	2000-07-01	1999-07-01	0	30020	13048.01
1999-07-01	1998-07-01	titer_tree_model	0.56	2001-07-01	2000-07-01	0	33496	18627.77
2000-07-01	1999-07-01	titer_tree_model	0.13	2000-07-01	1999-07-01	0	36100	4599.8
2000-07-01	1999-07-01	titer_tree_model	0.21	2001-07-01	2000-07-01	0	40280	8660.19
2000-07-01	1999-07-01	titer_tree_model	0.54	2002-07-01	2001-07-01	0	72770	39293.52
2001-07-01	2000-07-01	titer_tree_model	0.21	2001-07-01	2000-07-01	0	44944	9578.64
2001-07-01	2000-07-01	titer_tree_model	0.58	2002-07-01	2001-07-01	0	81196	47216.79
2001-07-01	2000-07-01	titer_tree_model	1.41	2003-07-01	2002-07-01	0	95400	134247.57
2002-07-01	2001-07-01	titer_tree_model	0.7	2002-07-01	2001-07-01	0	146689	102757.53
2002-07-01	2001-07-01	titer_tree_model	1.57	2003-07-01	2002-07-01	0	172350	270922.58
2002-07-01	2001-07-01	titer_tree_model	2.43	2004-07-01	2003-07-01	0	211033	513447.82
2003-07-01	2002-07-01	titer_tree_model	1.2	2003-07-01	2002-07-01	0	202500	242612.61
2003-07-01	2002-07-01	titer_tree_model	1.32	2004-07-01	2003-07-01	0	247950	326779.24
2003-07-01	2002-07-01	titer_tree_model	2.13	2005-07-01	2004-07-01	0	271800	577588.68
2004-07-01	2003-07-01	titer_tree_model	0.79	2004-07-01	2003-07-01	0	303601	239945.54
2004-07-01	2003-07-01	titer_tree_model	1.36	2005-07-01	2004-07-01	0	332804	454090.12
2004-07-01	2003-07-01	titer_tree_model	2.09	2006-07-01	2005-07-01	0	274398	573966.65
2005-07-01	2004-07-01	titer_tree_model	0.82	2005-07-01	2004-07-01	0	364816	299511.98
2005-07-01	2004-07-01	titer_tree_model	1.2	2006-07-01	2005-07-01	0	300792	361517.1
2005-07-01	2004-07-01	titer_tree_model	1.94	2007-07-01	2006-07-01	0	334012	646983.48
2006-07-01	2005-07-01	titer_tree_model	0.71	2006-07-01	2005-07-01	0	248004	176012.76
2006-07-01	2005-07-01	titer_tree_model	1.15	2007-07-01	2006-07-01	0	275394	316622.93
2006-07-01	2005-07-01	titer_tree_model	1.77	2008-07-01	2007-07-01	0	288342	510100.81
2007-07-01	2006-07-01	titer_tree_model	0.99	2007-07-01	2006-07-01	0	305809	302141.08
